,Duration,Epidemic,ep_high,ep_low,Rt
0,195,688,447,241,0.418
1,267.5,725,445,280,0.385
2,17,0,0,0,2
3,267.25,715,444,271,0.397
4,286.5,756,463,293,0.318
5,36,1,0,1,1.999
6,267.5,666,430,236,0.474
7,291.25,630,416,214,0.538
8,14.25,0,0,0,2
9,222.25,676,434,242,0.456
10,3,0,0,0,2
11,271.25,690,424,266,0.462
12,113,12,8,4,1.972
13,303.25,657,431,226,0.481
14,308.75,694,442,252,0.422
15,292,663,419,244,0.499
16,44.5,7,4,3,1.985
17,33,1,1,0,1.997
18,243,651,437,214,0.475
19,9,0,0,0,2
20,261.5,662,431,231,0.476
21,5.25,0,0,0,2
22,286.75,706,459,247,0.376
23,303.5,701,449,252,0.401
24,232.5,701,452,249,0.395
25,245.5,685,442,243,0.431
26,276.5,683,437,246,0.443
27,240.75,717,457,260,0.369
28,208,674,427,247,0.472
29,294.5,644,430,214,0.496
30,287,713,448,265,0.391
31,9.5,0,0,0,2
32,264,687,434,253,0.445
33,279.5,678,435,243,0.452
34,259.75,683,431,252,0.455
35,22.5,1,1,0,1.997
36,14.75,0,0,0,2
37,189.75,696,439,257,0.426
38,335.75,690,442,248,0.426
39,241.5,670,432,238,0.466
40,279.75,696,452,244,0.4
41,248.25,672,432,240,0.464
42,16,1,1,0,1.997
43,237.5,665,418,247,0.499
44,440.25,655,426,229,0.493
45,26,1,1,0,1.997
46,4.75,0,0,0,2
47,279.75,694,448,246,0.41
48,26.75,1,1,0,1.997
49,212.5,687,433,254,0.447
50,13.75,0,0,0,2
51,275.25,634,403,231,0.56
52,278,708,460,248,0.372
53,264.25,707,447,260,0.399
54,272.75,693,439,254,0.429
55,238,616,413,203,0.558
56,296,661,426,235,0.487
57,250.75,714,443,271,0.4
58,28.75,0,0,0,2
59,36.5,2,1,1,1.996
60,207,691,446,245,0.417
61,274,691,441,250,0.427
62,262.25,695,440,255,0.425
63,256.25,721,457,264,0.365
64,55.25,8,7,1,1.978
65,14.75,0,0,0,2
66,244.75,720,429,291,0.422
67,233.25,679,436,243,0.449
68,230.5,683,442,241,0.433
69,246.75,710,443,267,0.404
70,18.75,2,2,0,1.994
71,10.75,0,0,0,2
72,212.75,694,434,260,0.438
73,258.75,687,450,237,0.413
74,231.5,695,425,270,0.455
75,21,1,1,0,1.997
76,285.25,677,441,236,0.441
77,222.25,658,432,226,0.478
78,234.5,682,439,243,0.44
79,283.5,681,429,252,0.461
80,12,0,0,0,2
81,38.25,3,1,2,1.995
82,272.75,652,430,222,0.488
83,19.25,0,0,0,2
84,5.75,0,0,0,2
85,32,4,3,1,1.99
86,304.75,684,449,235,0.418
87,268.5,667,446,221,0.441
88,221.5,715,462,253,0.361
89,298.25,670,431,239,0.468
90,7.25,0,0,0,2
91,34.25,1,1,0,1.997
92,7,0,0,0,2
93,41.5,2,1,1,1.996
94,7.75,0,0,0,2
95,29,1,1,0,1.997
96,263.5,660,429,231,0.482
97,296.75,679,430,249,0.461
98,16.5,0,0,0,2
99,17.25,0,0,0,2
100,208.75,715,444,271,0.397
101,256.75,715,451,264,0.383
102,246.75,673,437,236,0.453
103,19,0,0,0,2
104,295,650,420,230,0.51
105,309,704,435,269,0.426
106,337,642,413,229,0.532
107,92.75,8,4,4,1.984
108,26.5,0,0,0,2
109,18.5,0,0,0,2
110,247.25,701,432,269,0.435
111,240.25,694,445,249,0.416
112,30,0,0,0,2
113,251.5,663,424,239,0.489
114,253.5,671,429,242,0.471
115,45.5,3,3,0,1.991
116,220.75,650,427,223,0.496
117,251.5,645,418,227,0.519
118,205.5,648,405,243,0.542
119,297.5,616,426,190,0.532
120,282.75,692,427,265,0.454
121,259.5,698,446,252,0.41
122,10,0,0,0,2
123,26.25,0,0,0,2
124,15.25,2,2,0,1.994
125,19.25,0,0,0,2
126,14.5,0,0,0,2
127,10.5,0,0,0,2
128,290.25,685,437,248,0.441
129,29.75,0,0,0,2
130,275.5,701,450,251,0.399
131,217.75,723,443,280,0.391
132,224.25,689,434,255,0.443
133,241,718,447,271,0.388
134,235.5,721,456,265,0.367
135,300.75,684,420,264,0.476
136,247.25,694,436,258,0.434
137,216,705,446,259,0.403
138,36.75,1,1,0,1.997
139,346.25,669,416,253,0.499
140,19.25,0,0,0,2
141,259.75,677,424,253,0.475
142,270.75,695,444,251,0.417
143,209.25,673,426,247,0.475
144,250.25,684,440,244,0.436
145,210,714,443,271,0.4
146,287.75,694,435,259,0.436
147,9.5,0,0,0,2
148,306,720,438,282,0.404
149,207,677,426,251,0.471
150,19.75,1,1,0,1.997
151,213.75,671,437,234,0.455
152,284,708,447,261,0.398
153,259,680,439,241,0.442
154,258.75,703,441,262,0.415
155,7,0,0,0,2
156,11,0,0,0,2
157,282.5,682,433,249,0.452
158,300.5,637,424,213,0.515
159,365.25,692,444,248,0.42
160,347,686,422,264,0.47
161,281.25,747,466,281,0.321
162,3.5,0,0,0,2
163,243.5,677,438,239,0.447
164,49,3,3,0,1.991
165,239.75,680,435,245,0.45
166,15.75,0,0,0,2
167,270.5,683,432,251,0.453
168,286.25,662,427,235,0.484
169,241.5,715,427,288,0.431
170,21,0,0,0,2
171,268.75,611,405,206,0.579
172,358.25,621,411,210,0.557
173,229,699,431,268,0.439
174,274.75,686,435,251,0.444
175,14.25,0,0,0,2
176,202,679,438,241,0.445
177,217.75,653,421,232,0.505
178,16.75,0,0,0,2
179,284,653,418,235,0.511
180,268.25,707,443,264,0.407
181,286.5,691,445,246,0.419
182,289.75,638,409,229,0.544
183,13.75,0,0,0,2
184,247.75,710,447,263,0.396
185,223.5,671,435,236,0.459
186,296.5,648,422,226,0.508
187,16,0,0,0,2
188,217.5,661,426,235,0.487
189,316.5,727,453,274,0.367
190,216.75,674,429,245,0.468
191,284,692,439,253,0.43
192,260.25,714,465,249,0.356
193,280.5,693,446,247,0.415
194,14.25,0,0,0,2
195,4.75,0,0,0,2
196,48.25,6,4,2,1.986
197,246.5,740,453,287,0.354
198,251,700,444,256,0.412
199,245.75,706,458,248,0.378
200,291.75,656,435,221,0.474
201,223.25,726,450,276,0.374
202,307.5,648,423,225,0.506
203,9.5,0,0,0,2
204,253.75,616,407,209,0.57
205,188.75,650,423,227,0.504
206,15,0,0,0,2
207,330.5,652,423,229,0.502
208,7.75,0,0,0,2
209,23.5,1,1,0,1.997
210,10.25,0,0,0,2
211,283.25,729,454,275,0.363
212,267.25,638,422,216,0.518
213,271.25,670,432,238,0.466
214,304.75,644,407,237,0.542
215,221.75,685,448,237,0.419
