r.num,Duration,Epidemic,Rt,ep_high,ep_low,
1,250.25,708.00,0.41,441.00,267.00,
2,202.00,641.00,0.50,430.00,211.00,
3,315.75,732.00,0.37,447.00,285.00,
4,258.50,682.00,0.43,446.00,236.00,
5,4.25,0.00,2.00,0.00,0.00,
6,247.25,678.00,0.44,440.00,238.00,
7,232.50,695.00,0.45,427.00,268.00,
8,6.75,0.00,2.00,0.00,0.00,
9,261.25,685.00,0.45,435.00,250.00,
10,15.00,0.00,2.00,0.00,0.00,
11,264.50,654.00,0.51,416.00,238.00,
12,258.50,661.00,0.48,427.00,234.00,
13,251.50,684.00,0.44,437.00,247.00,
14,292.00,681.00,0.44,442.00,239.00,
15,32.50,1.00,2.00,0.00,1.00,
16,243.25,689.00,0.45,432.00,257.00,
17,30.75,1.00,2.00,1.00,0.00,
18,256.50,710.00,0.42,437.00,273.00,
19,250.25,710.00,0.41,439.00,271.00,
20,244.50,648.00,0.51,421.00,227.00,
21,33.50,3.00,2.00,1.00,2.00,
22,14.25,0.00,2.00,0.00,0.00,
23,226.50,651.00,0.49,427.00,224.00,
24,244.00,703.00,0.42,439.00,264.00,
25,201.75,689.00,0.45,433.00,256.00,
26,258.25,676.00,0.46,431.00,245.00,
27,258.25,716.00,0.39,449.00,267.00,
28,25.00,0.00,2.00,0.00,0.00,
29,279.75,638.00,0.54,411.00,227.00,
30,287.75,655.00,0.49,428.00,227.00,
31,287.50,666.00,0.48,429.00,237.00,
32,238.50,686.00,0.46,425.00,261.00,
33,7.50,0.00,2.00,0.00,0.00,
34,9.25,0.00,2.00,0.00,0.00,
35,7.75,0.00,2.00,0.00,0.00,
36,262.00,656.00,0.50,422.00,234.00,
37,258.25,674.00,0.46,433.00,241.00,
38,257.25,696.00,0.43,435.00,261.00,
39,27.00,1.00,2.00,0.00,1.00,
40,284.00,626.00,0.57,404.00,222.00,
41,22.75,1.00,2.00,1.00,0.00,
42,214.50,698.00,0.41,446.00,252.00,
43,11.75,0.00,2.00,0.00,0.00,
44,220.75,692.00,0.44,434.00,258.00,
45,279.50,661.00,0.47,433.00,228.00,
46,219.50,714.00,0.39,447.00,267.00,
47,5.50,0.00,2.00,0.00,0.00,
48,253.75,612.00,0.58,404.00,208.00,
49,194.25,718.00,0.37,457.00,261.00,
50,281.75,699.00,0.44,433.00,266.00,
51,10.25,0.00,2.00,0.00,0.00,
52,291.25,719.00,0.37,454.00,265.00,
53,262.25,673.00,0.49,420.00,253.00,
54,235.50,665.00,0.48,426.00,239.00,
55,18.00,0.00,2.00,0.00,0.00,
56,297.75,709.00,0.41,439.00,270.00,
57,18.50,0.00,2.00,0.00,0.00,
58,13.50,1.00,2.00,0.00,1.00,
59,206.75,664.00,0.47,431.00,233.00,
60,267.50,635.00,0.53,420.00,215.00,
61,233.75,723.00,0.36,456.00,267.00,
62,278.25,648.00,0.51,419.00,229.00,
63,279.75,709.00,0.38,458.00,251.00,
64,301.25,691.00,0.42,444.00,247.00,
65,77.00,11.00,1.97,10.00,1.00,
66,46.50,2.00,2.00,1.00,1.00,
67,20.50,1.00,2.00,1.00,0.00,
68,261.00,716.00,0.38,452.00,264.00,
69,203.50,690.00,0.45,429.00,261.00,
70,247.50,652.00,0.53,410.00,242.00,
71,82.00,5.00,1.99,4.00,1.00,
72,292.75,688.00,0.46,428.00,260.00,
73,228.25,662.00,0.47,432.00,230.00,
74,244.00,693.00,0.42,441.00,252.00,
75,325.50,647.00,0.50,426.00,221.00,
76,24.00,0.00,2.00,0.00,0.00,
