,Duration,Epidemic,ep_high,ep_low,Rt
0,304.25,655.0,415.0,240.0,0.505
1,21.25,0.0,0.0,0.0,2.056
2,240.75,701.0,425.0,276.0,0.419
3,278.75,651.0,441.0,210.0,0.481
4,267.25,681.0,419.0,262.0,0.437
5,288.25,684.0,425.0,259.0,0.436
6,225.75,701.0,464.0,237.0,0.40700000000000003
7,225.25,716.0,434.0,282.0,0.382
8,270.25,708.0,466.0,242.0,0.41800000000000004
9,228.25,659.0,421.0,238.0,0.45699999999999996
10,246.5,660.0,439.0,221.0,0.484
11,23.75,1.0,1.0,0.0,1.957
12,209.75,737.0,456.0,281.0,0.361
13,9.0,0.0,0.0,0.0,1.9940000000000002
14,249.0,716.0,449.0,267.0,0.374
15,302.25,686.0,461.0,225.0,0.446
16,35.75,2.0,1.0,1.0,1.958
17,324.5,668.0,424.0,244.0,0.44400000000000006
18,14.0,0.0,0.0,0.0,1.9980000000000002
19,262.75,675.0,443.0,232.0,0.46299999999999997
20,4.75,0.0,0.0,0.0,1.9860000000000002
21,253.0,675.0,442.0,233.0,0.443
22,229.25,641.0,415.0,226.0,0.497
23,323.25,707.0,439.0,268.0,0.41500000000000004
24,19.25,0.0,0.0,0.0,1.9940000000000002
25,290.5,583.0,375.0,208.0,0.587
26,16.75,0.0,0.0,0.0,1.98
27,250.0,678.0,432.0,246.0,0.47
28,267.75,695.0,443.0,252.0,0.455
29,13.5,0.0,0.0,0.0,2.008
30,55.75,5.0,3.0,2.0,1.991
31,18.0,0.0,0.0,0.0,1.98
32,268.25,627.0,404.0,223.0,0.5409999999999999
33,230.0,671.0,429.0,242.0,0.457
34,267.75,674.0,421.0,253.0,0.478
35,18.25,0.0,0.0,0.0,2.002
36,10.0,0.0,0.0,0.0,2.06
37,23.5,0.0,0.0,0.0,1.9860000000000002
38,10.0,0.0,0.0,0.0,1.9940000000000002
39,332.0,664.0,422.0,242.0,0.43799999999999994
40,44.75,9.0,8.0,1.0,1.981
41,334.0,639.0,423.0,216.0,0.543
42,290.75,700.0,448.0,252.0,0.406
43,251.0,700.0,459.0,241.0,0.398
44,270.5,641.0,402.0,239.0,0.529
45,17.75,0.0,0.0,0.0,1.992
46,284.25,641.0,389.0,252.0,0.497
47,248.75,683.0,421.0,262.0,0.471
48,81.25,8.0,6.0,2.0,1.9820000000000002
49,229.75,680.0,459.0,221.0,0.45799999999999996
50,6.0,0.0,0.0,0.0,2.044
51,222.0,711.0,433.0,278.0,0.389
52,248.75,665.0,432.0,233.0,0.497
53,340.0,672.0,420.0,252.0,0.48
54,29.0,4.0,4.0,0.0,2.006
55,261.5,733.0,457.0,276.0,0.353
56,237.25,683.0,431.0,252.0,0.42300000000000004
57,298.25,709.0,460.0,249.0,0.393
58,292.25,722.0,463.0,259.0,0.4
59,23.25,0.0,0.0,0.0,2.024
60,251.75,648.0,429.0,219.0,0.506
61,277.0,623.0,401.0,222.0,0.5469999999999999
62,284.75,681.0,423.0,258.0,0.46099999999999997
63,25.75,2.0,2.0,0.0,1.99
64,242.5,681.0,443.0,238.0,0.445
65,39.75,0.0,0.0,0.0,1.956
66,277.75,657.0,408.0,249.0,0.47100000000000003
67,14.5,0.0,0.0,0.0,2.0
68,254.75,665.0,434.0,231.0,0.46900000000000003
69,260.0,680.0,426.0,254.0,0.448
70,272.0,659.0,427.0,232.0,0.493
71,314.0,641.0,409.0,232.0,0.517
72,271.0,711.0,446.0,265.0,0.385
73,286.5,661.0,418.0,243.0,0.475
74,286.0,695.0,423.0,272.0,0.421
75,331.75,607.0,405.0,202.0,0.579
76,237.75,655.0,406.0,249.0,0.487
77,224.25,676.0,435.0,241.0,0.448
78,275.75,657.0,439.0,218.0,0.489
79,271.25,686.0,454.0,232.0,0.41000000000000003
80,7.25,0.0,0.0,0.0,1.9460000000000002
81,268.0,676.0,429.0,247.0,0.476
82,302.25,673.0,404.0,269.0,0.443
83,265.0,613.0,390.0,223.0,0.5589999999999999
84,285.5,649.0,402.0,247.0,0.519
85,18.0,0.0,0.0,0.0,1.9540000000000002
86,364.5,714.0,447.0,267.0,0.394
87,255.75,686.0,436.0,250.0,0.41800000000000004
88,244.75,681.0,426.0,255.0,0.447
89,326.5,698.0,451.0,247.0,0.41200000000000003
90,244.75,675.0,438.0,237.0,0.451
91,226.25,672.0,422.0,250.0,0.482
92,222.25,697.0,441.0,256.0,0.445
93,18.75,0.0,0.0,0.0,1.9700000000000002
94,309.25,655.0,454.0,201.0,0.507
95,289.5,680.0,429.0,251.0,0.438
96,18.0,0.0,0.0,0.0,2.03
97,231.25,727.0,445.0,282.0,0.379
98,5.75,0.0,0.0,0.0,2.07
99,239.75,702.0,441.0,261.0,0.41000000000000003
100,259.5,638.0,400.0,238.0,0.538
101,341.75,689.0,456.0,233.0,0.443
102,323.0,655.0,450.0,205.0,0.487
103,210.5,670.0,453.0,217.0,0.484
