r.num,Duration,Epidemic,Rt,ep_high,ep_low,
1,209.00,708.00,0.41,448.00,260.00,
2,262.25,690.00,0.43,439.00,251.00,
3,11.50,0.00,1.98,0.00,0.00,
4,15.75,0.00,2.03,0.00,0.00,
5,272.75,715.00,0.40,429.00,286.00,
6,283.00,705.00,0.42,454.00,251.00,
7,241.75,652.00,0.47,423.00,229.00,
8,218.25,713.00,0.38,441.00,272.00,
9,16.50,0.00,2.00,0.00,0.00,
10,9.00,0.00,1.96,0.00,0.00,
11,15.00,0.00,2.00,0.00,0.00,
12,283.75,721.00,0.38,433.00,288.00,
13,13.00,0.00,1.99,0.00,0.00,
14,26.25,2.00,1.99,1.00,1.00,
15,254.75,697.00,0.44,446.00,251.00,
16,324.00,648.00,0.51,411.00,237.00,
17,293.25,697.00,0.42,450.00,247.00,
18,13.75,1.00,2.02,1.00,0.00,
19,234.25,656.00,0.48,420.00,236.00,
20,289.75,630.00,0.55,407.00,223.00,
21,336.75,702.00,0.40,469.00,233.00,
22,313.25,682.00,0.44,424.00,258.00,
23,249.25,673.00,0.48,421.00,252.00,
24,268.25,654.00,0.46,409.00,245.00,
25,27.25,2.00,2.00,2.00,0.00,
26,236.50,651.00,0.50,433.00,218.00,
27,302.00,708.00,0.42,441.00,267.00,
28,208.50,714.00,0.38,463.00,251.00,
29,23.75,2.00,1.98,2.00,0.00,
30,9.25,0.00,1.94,0.00,0.00,
31,372.25,617.00,0.58,398.00,219.00,
32,253.25,622.00,0.56,396.00,226.00,
33,22.75,1.00,1.98,1.00,0.00,
34,15.75,0.00,2.00,0.00,0.00,
35,15.75,0.00,1.97,0.00,0.00,
36,215.00,691.00,0.45,431.00,260.00,
37,307.75,658.00,0.48,432.00,226.00,
38,5.00,0.00,2.02,0.00,0.00,
39,301.25,730.00,0.35,445.00,285.00,
40,315.50,643.00,0.54,413.00,230.00,
41,249.25,690.00,0.45,438.00,252.00,
42,26.25,1.00,1.98,0.00,1.00,
43,22.00,0.00,2.03,0.00,0.00,
44,229.75,691.00,0.42,446.00,245.00,
45,220.75,713.00,0.41,453.00,260.00,
46,234.25,710.00,0.41,459.00,251.00,
47,250.50,701.00,0.42,434.00,267.00,
48,11.00,0.00,1.99,0.00,0.00,
49,286.25,692.00,0.44,444.00,248.00,
50,235.75,691.00,0.44,419.00,272.00,
51,230.00,655.00,0.49,411.00,244.00,
52,30.00,5.00,1.98,4.00,1.00,
53,13.75,0.00,2.04,0.00,0.00,
54,276.25,666.00,0.47,433.00,233.00,
55,229.25,746.00,0.34,453.00,293.00,
56,207.25,742.00,0.35,469.00,273.00,
57,52.50,5.00,1.95,2.00,3.00,
58,286.50,710.00,0.42,434.00,276.00,
59,237.50,689.00,0.45,448.00,241.00,
60,13.75,0.00,1.95,0.00,0.00,
61,187.25,705.00,0.40,458.00,247.00,
62,233.00,698.00,0.41,444.00,254.00,
63,242.50,695.00,0.41,441.00,254.00,
64,20.25,1.00,2.05,1.00,0.00,
65,11.50,0.00,2.01,0.00,0.00,
66,267.75,702.00,0.43,476.00,226.00,
67,256.25,640.00,0.53,411.00,229.00,
68,265.75,691.00,0.42,412.00,279.00,
69,24.25,2.00,2.03,2.00,0.00,
70,270.00,640.00,0.52,413.00,227.00,
71,20.00,0.00,1.96,0.00,0.00,
72,346.00,705.00,0.39,454.00,251.00,
73,252.00,753.00,0.32,471.00,282.00,
74,316.75,638.00,0.51,415.00,223.00,
75,273.25,685.00,0.45,443.00,242.00,
76,30.00,0.00,1.98,0.00,0.00,
77,249.00,634.00,0.55,415.00,219.00,
78,10.25,0.00,2.09,0.00,0.00,
79,66.25,7.00,1.98,5.00,2.00,
80,28.50,2.00,2.01,2.00,0.00,
81,293.50,697.00,0.40,451.00,246.00,
82,8.00,0.00,1.94,0.00,0.00,
83,40.75,1.00,2.03,0.00,1.00,
84,45.25,2.00,1.99,2.00,0.00,
85,11.50,0.00,2.04,0.00,0.00,
86,252.50,657.00,0.52,430.00,227.00,
87,334.25,685.00,0.47,432.00,253.00,
88,28.75,1.00,2.00,1.00,0.00,
89,270.75,648.00,0.48,393.00,255.00,
90,11.25,0.00,2.01,0.00,0.00,
91,20.00,0.00,2.00,0.00,0.00,
92,243.00,650.00,0.48,420.00,230.00,
93,275.25,689.00,0.44,441.00,248.00,
94,254.25,661.00,0.45,411.00,250.00,
95,207.75,738.00,0.34,471.00,267.00,
96,261.50,718.00,0.38,446.00,272.00,
97,32.00,1.00,2.01,1.00,0.00,
98,53.00,2.00,1.96,2.00,0.00,
99,220.00,685.00,0.45,456.00,229.00,
100,28.00,0.00,1.96,0.00,0.00,
101,4.50,0.00,2.07,0.00,0.00,
102,26.75,1.00,2.01,1.00,0.00,
103,58.75,10.00,1.92,9.00,1.00,
104,270.00,695.00,0.43,451.00,244.00,
105,37.00,1.00,2.00,1.00,0.00,
106,228.25,696.00,0.43,446.00,250.00,
107,264.50,743.00,0.34,470.00,273.00,
108,216.75,730.00,0.37,472.00,258.00,
109,217.00,740.00,0.36,475.00,265.00,
110,237.50,611.00,0.56,415.00,196.00,
111,225.00,710.00,0.42,446.00,264.00,
112,30.50,2.00,2.02,1.00,1.00,
113,22.75,0.00,1.99,0.00,0.00,
114,58.75,4.00,1.97,2.00,2.00,
115,220.50,711.00,0.39,440.00,271.00,
116,18.25,1.00,1.98,1.00,0.00,
117,272.25,671.00,0.46,452.00,219.00,
118,293.50,659.00,0.48,440.00,219.00,
119,226.00,705.00,0.41,424.00,281.00,
120,7.50,0.00,1.93,0.00,0.00,
121,260.75,718.00,0.37,449.00,269.00,
122,338.25,704.00,0.43,425.00,279.00,
123,22.25,0.00,1.95,0.00,0.00,
124,18.25,3.00,1.95,3.00,0.00,
125,256.25,664.00,0.46,429.00,235.00,
126,286.00,697.00,0.42,443.00,254.00,
127,3.00,0.00,2.03,0.00,0.00,
128,250.50,720.00,0.37,471.00,249.00,
129,285.25,643.00,0.50,409.00,234.00,
130,3.50,0.00,2.03,0.00,0.00,
131,20.25,2.00,1.95,1.00,1.00,
132,285.50,674.00,0.45,427.00,247.00,
133,309.25,667.00,0.47,417.00,250.00,
134,247.75,703.00,0.45,439.00,264.00,
135,9.25,0.00,2.03,0.00,0.00,
136,289.25,679.00,0.46,423.00,256.00,
137,204.00,694.00,0.46,448.00,246.00,
138,270.00,635.00,0.54,380.00,255.00,
139,11.50,0.00,1.99,0.00,0.00,
140,257.00,666.00,0.50,438.00,228.00,
141,339.00,667.00,0.47,428.00,239.00,
142,13.00,0.00,1.99,0.00,0.00,
143,340.00,697.00,0.46,411.00,286.00,
144,12.50,1.00,2.03,1.00,0.00,
145,273.50,683.00,0.43,428.00,255.00,
146,232.75,683.00,0.46,440.00,243.00,
147,266.25,668.00,0.46,417.00,251.00,
148,306.25,717.00,0.40,436.00,281.00,
149,347.00,665.00,0.47,418.00,247.00,
150,225.50,672.00,0.47,435.00,237.00,
151,236.50,708.00,0.40,455.00,253.00,
152,279.25,630.00,0.57,404.00,226.00,
153,216.00,734.00,0.37,482.00,252.00,
154,260.25,653.00,0.49,411.00,242.00,
155,266.50,643.00,0.50,415.00,228.00,
156,29.50,0.00,2.01,0.00,0.00,
157,10.00,0.00,2.00,0.00,0.00,
158,277.50,709.00,0.40,448.00,261.00,
159,253.50,715.00,0.40,454.00,261.00,
160,276.50,670.00,0.46,445.00,225.00,
161,250.00,643.00,0.52,418.00,225.00,
162,66.75,5.00,1.99,3.00,2.00,
163,254.50,702.00,0.42,426.00,276.00,
164,16.00,0.00,2.01,0.00,0.00,
165,15.00,0.00,1.95,0.00,0.00,
166,268.25,659.00,0.49,454.00,205.00,
167,17.50,0.00,2.01,0.00,0.00,
168,10.25,0.00,2.00,0.00,0.00,
169,234.00,686.00,0.43,437.00,249.00,
170,12.00,0.00,2.00,0.00,0.00,
171,195.75,676.00,0.44,433.00,243.00,
172,220.25,729.00,0.38,467.00,262.00,
173,286.75,715.00,0.41,457.00,258.00,
174,292.75,638.00,0.52,422.00,216.00,
175,11.75,0.00,2.00,0.00,0.00,
176,291.50,682.00,0.46,447.00,235.00,
177,256.25,689.00,0.42,440.00,249.00,
178,9.50,0.00,2.03,0.00,0.00,
179,10.25,0.00,1.98,0.00,0.00,
180,40.50,1.00,1.99,1.00,0.00,
181,273.25,689.00,0.45,430.00,259.00,
182,284.00,722.00,0.38,445.00,277.00,
183,370.75,612.00,0.61,399.00,213.00,
184,281.25,663.00,0.47,406.00,257.00,
185,302.50,704.00,0.40,440.00,264.00,
186,254.75,706.00,0.40,445.00,261.00,
187,232.25,706.00,0.43,443.00,263.00,
188,266.50,649.00,0.50,424.00,225.00,
189,269.50,624.00,0.54,411.00,213.00,
190,16.50,0.00,2.03,0.00,0.00,
191,221.00,725.00,0.38,468.00,257.00,
192,276.75,659.00,0.49,427.00,232.00,
193,16.25,0.00,2.00,0.00,0.00,
194,16.00,0.00,1.99,0.00,0.00,
195,262.00,685.00,0.41,459.00,226.00,
196,230.75,692.00,0.44,432.00,260.00,
197,17.00,1.00,1.99,0.00,1.00,
198,6.75,0.00,2.03,0.00,0.00,
199,245.00,695.00,0.43,453.00,242.00,
200,204.25,714.00,0.42,452.00,262.00,
201,238.00,672.00,0.45,430.00,242.00,
202,256.50,684.00,0.47,436.00,248.00,
203,309.50,708.00,0.41,440.00,268.00,
204,14.75,0.00,2.04,0.00,0.00,
205,280.50,683.00,0.46,418.00,265.00,
206,195.00,717.00,0.40,461.00,256.00,
207,385.50,714.00,0.41,471.00,243.00,
208,5.75,0.00,2.04,0.00,0.00,
209,34.50,2.00,2.00,2.00,0.00,
210,293.50,676.00,0.46,418.00,258.00,
211,39.00,3.00,1.98,2.00,1.00,
212,58.00,2.00,2.02,1.00,1.00,
213,258.75,680.00,0.47,416.00,264.00,
214,281.50,655.00,0.49,423.00,232.00,
215,4.00,0.00,2.02,0.00,0.00,
216,27.75,3.00,2.07,3.00,0.00,
217,260.50,661.00,0.48,438.00,223.00,
218,258.50,712.00,0.40,451.00,261.00,
219,5.75,0.00,2.02,0.00,0.00,
220,67.25,4.00,2.02,3.00,1.00,
221,23.00,0.00,1.96,0.00,0.00,
222,260.25,625.00,0.56,400.00,225.00,
223,7.25,0.00,2.06,0.00,0.00,
224,268.25,696.00,0.43,446.00,250.00,
225,289.00,675.00,0.46,424.00,251.00,
226,7.50,0.00,2.04,0.00,0.00,
227,322.00,682.00,0.44,434.00,248.00,
228,299.75,647.00,0.51,440.00,207.00,
229,292.00,636.00,0.52,409.00,227.00,
230,6.50,0.00,2.01,0.00,0.00,
231,270.75,707.00,0.42,441.00,266.00,
232,253.25,653.00,0.51,415.00,238.00,
233,328.00,684.00,0.45,434.00,250.00,
234,15.75,0.00,1.98,0.00,0.00,
235,6.25,0.00,1.99,0.00,0.00,
236,262.75,714.00,0.40,440.00,274.00,
237,38.00,1.00,2.04,0.00,1.00,
238,262.50,664.00,0.50,408.00,256.00,
239,17.25,0.00,2.00,0.00,0.00,
240,12.00,0.00,1.94,0.00,0.00,
241,43.00,3.00,2.02,3.00,0.00,
242,225.50,678.00,0.44,424.00,254.00,
243,47.75,1.00,1.99,1.00,0.00,
244,23.00,0.00,2.00,0.00,0.00,
245,23.75,0.00,1.95,0.00,0.00,
246,276.00,629.00,0.55,414.00,215.00,
247,242.00,680.00,0.43,443.00,237.00,
248,282.25,710.00,0.40,453.00,257.00,
