,name,avg,stdev,95CI-,95CI+,min,max
0,r.num,5000.5,2886.8956799071675,4943.914015303849,5057.085984696151,1,10000
1,Duration,173.98565,120.20266329039349,171.6295599920626,176.34174000793737,1.25,783.0
2,Epidemic,202.0515,160.2394324606822,198.91065007734824,205.19234992265177,0.0,535.0
3,extinctions,0.3624,0.48071753549760743,0.3529774651657264,0.3718225348342736,False,True
4,Rt,1.489738,0.3809875936440071,1.4822702697687309,1.4972057302312691,0.58,2.58
5,ep_high,143.677,113.31463670545465,141.45592206389978,145.8980779361002,0.0,378.0
6,ep_low,58.3745,47.64957185452763,57.4405216915683,59.308478308431695,0.0,187.0
7,p_uncert,1.000061,0.1439963880622618,0.9972385296669348,1.0028834703330654,0.75,1.25
8,prevention,0.6328,0.48206576184155,0.6233510386080242,0.6422489613919758,0.0,1.0
9,time_until,57.722275,52.05863638952377,56.70187470547505,58.74267529452496,0.0,381.5
10,Unnamed: 9,,,,,,
