,name,avg,stdev,95CI-,95CI+,min,max
0,Unnamed: 0,4999.5,2886.90,4942.914015303849,5056.085984696151,0,9999
1,Duration,182.15985,124.34,179.7226057639562,184.5970942360438,1.0,600.25
2,Epidemic,189.6656,150.61,186.71342557267317,192.61777442732685,0.0,533.0
3,extinctions,0.3474,0.48,0.33806664156247984,0.35673335843752013,False,True
4,ep_high,135.501,106.86,133.40649552307684,137.59550447692317,0.0,366.0
5,ep_low,54.1646,44.45,53.29327831526393,55.03592168473607,0.0,178.0
6,Rt,1.5153062731688052,0.35,1.5083574768639838,1.5222550694736265,0.6948567089622004,2.585534379223766
7,delay_time,0.0,0.00,0.0,0.0,0.0,0.0
8,time_until,56.9962,49.88,56.01852740431412,57.97387259568588,0.0,449.0
9,prevention,0.6516,0.48,0.6422603819900903,0.6609396180099096,0.0,1.0
