,name,avg,stdev,95CI-,95CI+,min,max
0,r.num,5000.5,2886.90,4943.914015303849,5057.085984696151,1,10000
1,Duration,174.19205,118.50,171.86925329693452,176.51484670306547,1.75,661.0
2,Epidemic,201.1267,161.18,197.96735907477338,204.28604092522662,0.0,587.0
3,extinctions,0.3541,0.48,0.3447255648597668,0.36347443514023325,False,True
4,ep_high,142.9298,113.60,140.70307714026734,145.15652285973266,0.0,388.0
5,ep_low,58.1969,48.29,57.250275183791295,59.1435248162087,0.0,206.0
6,Rt,1.492597,0.38,1.4851936241561219,1.500000375843878,0.65,2.58
7,delay_time,3.564,3.55,3.494455940026975,3.6335440599730253,0.0,30.0
8,prevention,0.6451,0.48,0.6357207951010967,0.6544792048989033,0.0,1.0
9,time_until,57.913325,50.50,56.923434414973116,58.903215585026885,0.0,355.0
10,Unnamed: 9,,nan,,,,
