,Duration,Epidemic,Rt
0,14.75,1,1.998
1,17,0,2
2,209.75,782,0.436
3,235.5,791,0.418
4,34.5,1,1.998
5,190.5,831,0.338
6,273.75,801,0.398
7,11,0,2
8,212.5,856,0.288
9,245.25,802,0.396
10,249.75,771,0.458
11,282.75,777,0.446
12,228,803,0.394
13,281.5,797,0.406
14,348.5,809,0.382
15,279.75,824,0.352
16,293.5,804,0.392
17,234.25,804,0.392
18,253.5,784,0.432
19,249.25,752,0.496
20,20.75,0,2
21,22.5,0,2
22,39.25,2,1.996
23,264.25,769,0.462
24,247.25,803,0.394
25,6,0,2
26,219.75,760,0.48
27,265.5,747,0.506
28,262.75,816,0.368
29,242.75,797,0.406
30,233.25,815,0.37
31,261,793,0.414
32,293.25,803,0.394
33,35.75,1,1.998
34,298.25,764,0.472
35,19.75,0,2
36,18,0,2
37,260.25,840,0.32
38,271.75,801,0.398
39,253.5,806,0.388
40,293.75,794,0.412
41,209,806,0.388
42,253,806,0.388
43,312.5,760,0.48
44,297,770,0.46
45,25,0,2
46,2.75,0,2
47,317.25,765,0.47
48,242.5,799,0.402
49,30.5,0,2
50,10.5,0,2
51,230.5,842,0.316
52,4.75,0,2
53,243.5,814,0.372
54,304.25,774,0.452
55,10.25,0,2
56,241.75,756,0.488
57,209.5,794,0.412
58,18.5,0,2
59,301.25,804,0.392
60,99.5,11,1.978
61,288.25,732,0.536
62,226.75,840,0.32
63,307.25,825,0.35
64,264.25,796,0.408
65,223.75,804,0.392
66,230.25,794,0.412
67,280.5,777,0.446
68,250,753,0.494
69,283.5,772,0.456
70,229.5,782,0.436
71,256.25,792,0.416
72,268.25,853,0.294
73,261.25,819,0.362
74,283.5,804,0.392
75,10.5,0,2
76,292.25,826,0.348
77,284,796,0.408
78,332.25,806,0.388
79,222,756,0.488
80,297.5,807,0.386
81,21,1,1.998
82,297.75,810,0.38
83,12.75,0,2
84,263,824,0.352
85,280.5,780,0.44
86,19.5,0,2
87,320.25,776,0.448
88,10.5,0,2
89,260.75,775,0.45
90,14,0,2
91,301.75,823,0.354
92,13.75,0,2
93,277.25,820,0.36
94,2.5,0,2
95,29.75,0,2
96,4.75,0,2
97,17.75,1,1.998
98,246.5,803,0.394
99,22,0,2
100,24.5,0,2
101,319.75,784,0.432
102,299.25,782,0.436
103,287,805,0.39
104,340,825,0.35
105,15.25,1,1.998
106,271.5,777,0.446
107,38.75,1,1.998
108,319.75,796,0.408
109,220.25,815,0.37
110,18,1,1.998
111,233,797,0.406
112,9.5,0,2
113,11,0,2
114,40.75,3,1.994
115,282.5,765,0.47
116,367.75,740,0.52
117,33.25,1,1.998
118,332.5,758,0.484
119,18.25,1,1.998
120,267,765,0.47
121,5.25,0,2
122,256.5,782,0.436
123,211.75,837,0.326
124,220.25,800,0.4
125,207.5,817,0.366
126,47,3,1.994
127,256.75,789,0.422
128,264.25,782,0.436
129,241.75,761,0.478
130,257,770,0.46
131,11,0,2
132,5.5,0,2
