r.num,Duration,Epidemic,Rt,
1,277.50,762.00,0.48,
2,317.75,754.00,0.49,
3,247.75,767.00,0.47,
4,15.00,2.00,2.00,
5,292.00,771.00,0.46,
6,9.50,0.00,2.00,
7,4.25,0.00,2.00,
8,294.75,762.00,0.48,
9,22.75,0.00,2.00,
10,12.25,0.00,2.00,
11,308.50,737.00,0.53,
12,262.25,778.00,0.44,
13,243.25,783.00,0.43,
14,193.50,783.00,0.43,
15,15.25,1.00,2.00,
16,12.25,0.00,2.00,
17,285.25,807.00,0.39,
18,243.75,795.00,0.41,
19,9.50,0.00,2.00,
20,14.75,0.00,2.00,
21,317.25,809.00,0.38,
22,311.75,810.00,0.38,
23,22.00,0.00,2.00,
24,274.25,812.00,0.38,
25,5.25,0.00,2.00,
26,241.50,824.00,0.35,
27,10.50,0.00,2.00,
28,274.25,793.00,0.41,
29,16.50,0.00,2.00,
30,5.25,0.00,2.00,
31,269.25,791.00,0.42,
32,14.75,0.00,2.00,
33,227.00,824.00,0.35,
34,203.00,794.00,0.41,
35,227.00,828.00,0.34,
36,265.25,771.00,0.46,
37,12.75,0.00,2.00,
38,19.00,0.00,2.00,
39,286.75,794.00,0.41,
40,325.75,771.00,0.46,
41,29.75,0.00,2.00,
42,241.25,833.00,0.33,
43,236.00,805.00,0.39,
44,27.25,0.00,2.00,
45,21.25,1.00,2.00,
46,17.75,1.00,2.00,
47,240.50,830.00,0.34,
48,280.75,774.00,0.45,
49,4.75,0.00,2.00,
50,25.75,0.00,2.00,
51,235.50,805.00,0.39,
52,17.00,0.00,2.00,
53,238.75,763.00,0.47,
54,257.25,837.00,0.33,
55,206.25,797.00,0.41,
56,20.25,1.00,2.00,
57,199.00,786.00,0.43,
58,287.50,818.00,0.36,
59,15.00,0.00,2.00,
60,37.75,3.00,1.99,
61,204.25,780.00,0.44,
62,287.00,809.00,0.38,
63,244.25,788.00,0.42,
64,202.50,780.00,0.44,
65,5.75,0.00,2.00,
66,282.25,771.00,0.46,
67,18.75,0.00,2.00,
68,8.75,0.00,2.00,
69,17.50,0.00,2.00,
70,258.75,810.00,0.38,
71,267.00,755.00,0.49,
72,15.00,0.00,2.00,
73,237.25,824.00,0.35,
74,263.25,764.00,0.47,
75,236.25,805.00,0.39,
76,278.00,818.00,0.36,
77,288.00,810.00,0.38,
78,8.50,1.00,2.00,
79,5.00,0.00,2.00,
80,30.25,0.00,2.00,
81,299.00,783.00,0.43,
82,242.75,765.00,0.47,
83,19.75,1.00,2.00,
84,242.75,806.00,0.39,
85,21.00,1.00,2.00,
86,24.25,1.00,2.00,
87,307.25,745.00,0.51,
88,269.00,815.00,0.37,
89,298.00,795.00,0.41,
90,311.50,801.00,0.40,
91,243.50,796.00,0.41,
92,246.25,806.00,0.39,
93,29.50,1.00,2.00,
94,263.75,792.00,0.42,
95,253.25,818.00,0.36,
96,220.50,800.00,0.40,
97,25.75,1.00,2.00,
98,245.50,818.00,0.36,
99,258.25,834.00,0.33,
100,331.50,803.00,0.39,
101,41.50,2.00,2.00,
102,219.50,810.00,0.38,
103,233.25,798.00,0.40,
104,33.00,1.00,2.00,
105,284.25,794.00,0.41,
106,27.00,0.00,2.00,
107,259.25,811.00,0.38,
108,249.25,821.00,0.36,
109,14.50,0.00,2.00,
110,286.00,827.00,0.35,
111,14.00,0.00,2.00,
112,217.50,788.00,0.42,
113,50.25,14.00,1.97,
114,14.00,0.00,2.00,
115,253.00,808.00,0.38,
116,296.00,777.00,0.45,
117,291.25,822.00,0.36,
