,Duration,Epidemic,Rt
0,22,2,1.996
1,2.25,0,2
2,5,0,2
3,285.25,787,0.426
4,5.5,0,2
5,2,0,2
6,8.75,0,2
7,6,0,2
8,304,794,0.412
9,1.75,0,2
10,29,1,1.998
11,16.5,0,2
12,307.5,787,0.426
13,318.25,768,0.464
14,305.75,839,0.322
15,362.25,812,0.376
16,8.75,0,2
17,53.25,3,1.994
18,260.75,810,0.38
19,9.5,0,2
20,323.25,834,0.332
21,338,777,0.446
22,22.75,1,1.998
23,370.75,760,0.48
24,22.25,2,1.996
25,4.5,0,2
26,342,820,0.36
27,21.5,1,1.998
28,3.5,0,2
29,388.25,835,0.33
30,305,804,0.392
31,307.5,793,0.414
32,3.75,0,2
33,7.75,0,2
34,333.5,790,0.42
35,299.25,817,0.366
36,326.25,823,0.354
37,329.75,821,0.358
38,15.5,1,1.998
39,8.25,0,2
40,329.5,832,0.336
41,420.75,783,0.434
42,416,751,0.498
43,317.5,771,0.458
44,20.75,0,2
45,324,837,0.326
46,323.75,811,0.378
47,21.25,1,1.998
48,77,6,1.988
49,356.75,812,0.376
50,8,0,2
51,300.5,785,0.43
52,273.75,770,0.46
53,7.5,0,2
54,348.25,808,0.384
55,20.75,1,1.998
56,1,0,2
57,292.75,746,0.508
58,360.25,835,0.33
59,290,826,0.348
60,348,795,0.41
61,381,774,0.452
62,67.25,8,1.984
63,284.75,830,0.34
64,357.25,848,0.304
65,60.5,7,1.986
66,23.25,5,1.99
67,318.25,777,0.446
68,370.5,772,0.456
69,7.25,0,2
70,4.75,0,2
71,418.25,787,0.426
72,12.25,0,2
73,309.5,812,0.376
74,335,834,0.332
75,300.5,776,0.448
76,8.5,0,2
77,24.75,1,1.998
78,57.25,5,1.99
79,9.25,0,2
80,336.25,834,0.332
81,34.5,3,1.994
82,269,766,0.468
83,340.5,820,0.36
84,23.75,0,2
85,254.25,721,0.558
86,284,836,0.328
87,341.75,800,0.4
88,309.75,865,0.27
89,7,0,2
90,461,688,0.624
91,360.25,809,0.382
92,2.25,0,2
93,5.75,0,2
94,337.25,783,0.434
95,48.75,3,1.994
96,291.5,815,0.37
97,294,819,0.362
98,290.75,839,0.322
99,309.5,793,0.414
100,335.5,777,0.446
101,10.25,0,2
102,354.25,808,0.384
103,10.75,0,2
104,5.25,0,2
105,35.5,1,1.998
106,486.25,827,0.346
107,9.5,1,1.998
108,7,0,2
109,3.5,0,2
110,328.75,776,0.448
111,13.75,0,2
112,386.25,790,0.42
113,336.25,783,0.434
114,6.5,0,2
115,4,0,2
116,408,816,0.368
117,14.5,0,2
118,26.75,0,2
119,53.5,8,1.984
120,70,20,1.96
121,11.5,0,2
122,371.75,827,0.346
123,549.75,742,0.516
124,33.25,7,1.986
125,309,765,0.47
126,299.75,806,0.388
127,272.75,803,0.394
128,351.25,824,0.352
129,312.25,785,0.43
130,304.5,784,0.432
131,341.25,858,0.284
132,21,2,1.996
133,10.75,1,1.998
134,18.5,0,2
135,438.75,829,0.342
136,17.5,1,1.998
137,417.25,802,0.396
138,27.75,1,1.998
139,1.75,0,2
140,13.5,0,2
141,341.25,770,0.46
142,263.75,793,0.414
143,7.5,0,2
144,339.25,762,0.476
145,3.5,0,2
146,343.75,803,0.394
147,354,768,0.464
148,4.75,0,2
149,11.25,0,2
150,11.75,0,2
151,225.25,771,0.458
152,333.25,776,0.448
153,432.75,767,0.466
154,4,0,2
155,368.75,799,0.402
156,342,785,0.43
157,45,2,1.996
158,25.75,1,1.998
159,22.5,1,1.998
160,6.75,0,2
161,350.5,805,0.39
162,317.75,798,0.404
163,386,797,0.406
164,1.5,0,2
165,260.5,776,0.448
166,380.75,769,0.462
167,6.75,0,2
168,313.5,764,0.472
169,351.75,778,0.444
170,37.25,3,1.994
171,3,0,2
172,6.5,0,2
173,12.5,0,2
174,17.5,0,2
175,285,771,0.458
176,4.25,0,2
177,19.25,0,2
178,319,720,0.56
179,323.75,753,0.494
180,319.5,798,0.404
181,20.5,2,1.996
182,5.25,0,2
183,15.5,0,2
184,270.25,828,0.344
185,5.75,0,2
186,15.5,2,1.996
187,6,0,2
188,400.75,698,0.604
189,4,0,2
190,373,759,0.482
191,17.25,0,2
192,339.5,728,0.544
193,351.5,817,0.366
194,29.5,1,1.998
195,314.75,805,0.39
196,368,843,0.314
197,64.5,10,1.98
198,343.75,802,0.396
199,4.25,0,2
200,21.25,1,1.998
201,338.75,775,0.45
202,19.25,0,2
203,18,0,2
204,0.75,0,2
205,318.25,751,0.498
206,3,0,2
207,413.5,750,0.5
208,346.75,792,0.416
209,368.25,841,0.318
210,388.25,799,0.402
211,349.5,752,0.496
212,283.5,718,0.564
213,319,810,0.38
214,6.5,0,2
215,7,0,2
216,292.5,778,0.444
217,427,771,0.458
218,192,27,1.946
219,282.75,765,0.47
220,275.25,799,0.402
221,10.5,0,2
222,26.75,3,1.994
223,355.25,842,0.316
224,6.75,0,2
225,310.75,717,0.566
226,1.75,0,2
227,7.25,0,2
228,12.75,0,2
229,15.5,0,2
230,2.75,0,2
231,7.25,0,2
232,324.5,809,0.382
233,386,771,0.458
234,399,766,0.468
235,359.75,769,0.462
236,404.5,817,0.366
237,350.75,854,0.292
238,9.75,0,2
239,4,0,2
240,19,1,1.998
241,6.75,0,2
242,313.75,766,0.468
243,4.75,0,2
244,34,6,1.988
245,9.5,0,2
246,3.25,0,2
247,261.5,824,0.352
248,272.5,795,0.41
249,319.5,779,0.442
250,19.5,1,1.998
251,346,784,0.432
252,405.25,692,0.616
253,39.75,2,1.996
254,349.75,794,0.412
255,6.75,0,2
256,273,797,0.406
257,5,0,2
258,12,0,2
259,383,783,0.434
260,269,791,0.418
261,3.75,0,2
262,360.75,834,0.332
263,5.5,0,2
264,344.75,814,0.372
265,435,800,0.4
266,14.75,0,2
267,7.5,0,2
268,336,777,0.446
269,5.25,0,2
270,12.75,0,2
271,15.75,0,2
272,322.5,773,0.454
273,12,0,2
274,406.75,836,0.328
275,391.5,806,0.388
276,376.75,828,0.344
277,295,781,0.438
278,352.25,763,0.474
279,360.5,799,0.402
280,378,805,0.39
281,4.75,0,2
282,295.25,820,0.36
283,500.5,812,0.376
284,5.25,0,2
285,327,785,0.43
286,338.25,796,0.408
287,4,0,2
288,14,0,2
289,14.75,0,2
290,285.5,786,0.428
291,273,821,0.358
292,17,3,1.994
293,361,787,0.426
294,5.75,0,2
295,17,0,2
296,310.75,802,0.396
297,405,843,0.314
298,21.25,3,1.994
299,10.75,0,2
300,12.5,1,1.998
301,9,0,2
302,16.25,1,1.998
303,334.25,821,0.358
304,443.75,774,0.452
305,347,811,0.378
306,290.5,791,0.418
307,294,790,0.42
308,320.75,746,0.508
309,25.25,0,2
310,4,0,2
311,4.25,0,2
312,335.5,824,0.352
313,15.25,0,2
314,391.75,803,0.394
315,316.25,766,0.468
316,25.5,2,1.996
317,280.25,785,0.43
318,36,1,1.998
319,8,0,2
320,6,0,2
321,334.75,776,0.448
322,340.75,783,0.434
323,409.25,816,0.368
324,31.25,1,1.998
325,302.75,832,0.336
326,1.5,0,2
327,11.25,0,2
328,12.25,0,2
329,6.25,0,2
330,287,793,0.414
331,12.75,0,2
332,339.75,802,0.396
333,3.5,0,2
334,268,805,0.39
335,15.75,0,2
336,9.25,0,2
337,5.25,0,2
338,324.75,797,0.406
339,33.5,3,1.994
340,10.25,0,2
341,25.25,2,1.996
342,361.75,729,0.542
343,7.25,0,2
344,37.5,5,1.99
345,6.25,0,2
346,276.75,803,0.394
347,3.5,0,2
348,385.5,817,0.366
349,416.25,785,0.43
350,474.5,779,0.442
351,149,35,1.93
352,33.25,2,1.996
353,35.75,6,1.988
354,5.5,0,2
355,4.75,0,2
356,278.5,757,0.486
357,264.5,813,0.374
358,320.5,809,0.382
359,372,775,0.45
360,9.25,0,2
361,3.25,0,2
362,6.5,0,2
363,256.5,816,0.368
364,24,1,1.998
365,94.5,7,1.986
366,6,0,2
367,299,809,0.382
368,294,720,0.56
369,302.25,779,0.442
370,362.25,741,0.518
371,384,790,0.42
372,5.25,0,2
373,299.25,772,0.456
374,17.75,0,2
375,26.25,2,1.996
376,32,1,1.998
377,6,0,2
378,330.75,831,0.338
379,350,786,0.428
380,14.25,1,1.998
381,366.75,822,0.356
382,15.25,0,2
383,13.75,1,1.998
384,21.25,1,1.998
385,275.25,775,0.45
386,3,0,2
387,119.25,9,1.982
388,11.5,1,1.998
389,20.75,0,2
390,368.25,761,0.478
391,404.25,802,0.396
392,331.25,809,0.382
393,22.5,0,2
394,22,2,1.996
395,7,0,2
396,32.5,0,2
397,24,1,1.998
398,32.5,1,1.998
399,32.25,4,1.992
400,15.5,0,2
401,23.5,0,2
402,324.75,848,0.304
403,440.25,803,0.394
404,5.75,0,2
405,295.5,763,0.474
406,288.5,781,0.438
407,331.5,807,0.386
408,21.5,0,2
409,10,0,2
410,3.25,0,2
411,24.5,4,1.992
412,6,0,2
413,6.25,0,2
414,3,0,2
415,299.25,779,0.442
416,312.75,760,0.48
417,16,0,2
418,5.75,0,2
419,428.75,793,0.414
420,5.25,0,2
421,40.75,4,1.992
422,7.5,0,2
423,28.5,0,2
424,308.75,781,0.438
425,250.5,820,0.36
426,6.25,0,2
427,271,798,0.404
428,31,2,1.996
429,384,779,0.442
430,4,0,2
431,326.75,799,0.402
432,14.75,0,2
433,23.75,1,1.998
434,259.75,756,0.488
435,26,3,1.994
436,2.75,0,2
437,352.5,823,0.354
438,1.5,0,2
439,323.5,787,0.426
440,306,784,0.432
441,13.75,0,2
442,316.25,807,0.386
443,7.75,0,2
444,354.75,809,0.382
445,5,0,2
446,314.25,806,0.388
447,7.25,0,2
448,273.25,783,0.434
449,329,842,0.316
450,8,0,2
451,49,6,1.988
452,3.25,0,2
453,143,14,1.972
454,2.25,0,2
455,40.75,6,1.988
456,254.5,830,0.34
457,302.75,780,0.44
458,6.25,0,2
459,253.75,754,0.492
460,307.5,812,0.376
461,307,801,0.398
462,22.75,1,1.998
463,342,791,0.418
464,340.25,809,0.382
465,402.75,809,0.382
466,306.5,806,0.388
467,3.75,0,2
468,402.75,768,0.464
469,395.75,805,0.39
470,21,0,2
471,375.25,754,0.492
472,17.25,0,2
473,3.5,0,2
474,298.75,817,0.366
475,368,762,0.476
476,296.75,792,0.416
477,274.25,854,0.292
478,51,3,1.994
479,27.25,0,2
480,308,820,0.36
481,331.5,834,0.332
482,351.5,820,0.36
483,364.5,762,0.476
484,314.5,833,0.334
485,3.75,0,2
486,334.25,843,0.314
487,87.25,6,1.988
488,352.5,770,0.46
489,7.75,0,2
490,292.25,860,0.28
491,371,794,0.412
492,382.5,780,0.44
493,12.75,1,1.998
494,341,803,0.394
495,11,0,2
496,356,816,0.368
497,350,787,0.426
498,1,0,2
499,319.5,776,0.448
500,291.25,788,0.424
501,7.75,0,2
502,13.25,0,2
503,11.25,0,2
504,350.25,835,0.33
505,292.25,791,0.418
506,61.25,3,1.994
507,322.5,788,0.424
508,5,0,2
509,4.25,0,2
510,332.5,776,0.448
511,22.25,0,2
512,15.25,0,2
513,18,0,2
514,302,809,0.382
515,352.5,790,0.42
516,319.5,809,0.382
517,8.25,0,2
518,15.25,0,2
519,363.75,797,0.406
520,356.25,772,0.456
521,24.75,2,1.996
522,14.75,1,1.998
523,2.25,0,2
524,31.5,2,1.996
525,384.5,829,0.342
526,298,752,0.496
527,348.75,801,0.398
528,339,801,0.398
529,6,0,2
530,14.75,1,1.998
531,256.5,813,0.374
532,4.25,0,2
533,42,4,1.992
534,404.25,824,0.352
535,331.75,804,0.392
536,409,755,0.49
537,341,788,0.424
538,261.5,806,0.388
539,3,0,2
540,62.5,8,1.984
541,276,815,0.37
542,287.5,827,0.346
543,7,0,2
544,21.5,0,2
545,311,830,0.34
546,396.75,757,0.486
547,3,0,2
548,11.25,0,2
549,410.25,769,0.462
550,7.75,0,2
551,351.25,796,0.408
552,348.25,735,0.53
553,366.75,839,0.322
554,19,1,1.998
555,441.5,789,0.422
556,375.25,795,0.41
557,293,779,0.442
558,5.25,0,2
559,1.75,0,2
560,297.5,790,0.42
561,9,0,2
562,375.75,772,0.456
563,9,0,2
564,318,717,0.566
565,4.5,0,2
566,20,1,1.998
567,7.5,0,2
568,49,5,1.99
569,6.25,0,2
570,18.75,2,1.996
571,381.75,808,0.384
572,22,0,2
573,2.5,0,2
574,329.5,831,0.338
575,1,0,2
576,294.75,772,0.456
577,404.25,747,0.506
578,3,0,2
579,20,0,2
580,288.25,745,0.51
581,19.5,1,1.998
582,14.75,0,2
583,292.25,830,0.34
584,18,1,1.998
585,305.5,801,0.398
586,12.5,0,2
587,418,731,0.538
588,354.25,828,0.344
589,6,0,2
590,334.25,815,0.37
591,381,812,0.376
592,11,0,2
593,337.75,791,0.418
594,5,0,2
595,420,855,0.29
596,1,0,2
597,6.25,0,2
598,21,0,2
599,312,772,0.456
600,342.75,822,0.356
601,296.25,811,0.378
602,327,779,0.442
603,2.25,0,2
604,10.25,0,2
605,265.25,793,0.414
606,371.25,834,0.332
607,50.75,1,1.998
608,3,0,2
609,47.25,8,1.984
610,28.5,1,1.998
611,393.25,768,0.464
612,381.25,852,0.296
613,11.25,0,2
614,358.75,818,0.364
615,289.5,772,0.456
616,309.25,802,0.396
617,381.25,789,0.422
618,12.75,0,2
619,21.75,4,1.992
620,346.5,810,0.38
621,308.5,832,0.336
622,285.5,793,0.414
623,315.25,833,0.334
624,329.75,794,0.412
625,304.25,798,0.404
626,19,0,2
627,31.5,1,1.998
628,385.75,830,0.34
629,35.5,3,1.994
630,7,0,2
631,279,818,0.364
632,309,763,0.474
633,282.25,800,0.4
634,367,806,0.388
635,374,776,0.448
636,343.75,796,0.408
637,238.25,853,0.294
638,4.5,0,2
639,395.5,809,0.382
640,4.5,0,2
641,25.25,1,1.998
642,388.25,823,0.354
643,318,792,0.416
644,11.5,1,1.998
645,23,2,1.996
646,40.75,1,1.998
647,345.75,806,0.388
648,21.25,0,2
649,2.75,0,2
650,380.75,831,0.338
651,372.5,842,0.316
652,7.25,0,2
653,452.5,845,0.31
654,28.25,1,1.998
655,28.5,2,1.996
656,1.25,0,2
657,10.5,0,2
658,330.5,806,0.388
659,386.25,810,0.38
660,376,795,0.41
661,258.5,795,0.41
662,10,0,2
663,18.5,1,1.998
664,264.25,755,0.49
665,22.5,0,2
666,321.25,756,0.488
667,350,805,0.39
668,312.5,828,0.344
669,47.5,1,1.998
670,411.5,755,0.49
671,25.75,3,1.994
672,7.25,0,2
673,330,742,0.516
674,376.5,817,0.366
675,9.25,0,2
676,313,801,0.398
677,6.75,0,2
678,311.5,802,0.396
679,301,796,0.408
680,356,743,0.514
681,42.25,6,1.988
682,13,1,1.998
683,8.75,0,2
684,243,861,0.278
685,12.25,0,2
686,311.5,841,0.318
687,325.75,782,0.436
688,299.25,816,0.368
689,315.5,781,0.438
690,321,767,0.466
691,18,0,2
692,5.25,0,2
693,317.75,831,0.338
694,11.25,0,2
695,7.75,0,2
696,327.5,734,0.532
697,286.25,806,0.388
698,342,810,0.38
699,593,779,0.442
700,23,2,1.996
701,332,818,0.364
702,11,0,2
703,298.5,779,0.442
704,30.25,1,1.998
705,288.75,820,0.36
706,11.5,0,2
707,380.75,760,0.48
708,418.5,777,0.446
709,326.25,823,0.354
710,536.75,766,0.468
711,344.25,773,0.454
712,299.25,834,0.332
713,74.75,14,1.972
714,10,0,2
715,3.75,0,2
