r.num,Duration,Epidemic,Rt,
1,16.50,0.00,2.00,
2,26.50,2.00,2.00,
3,5.75,0.00,2.00,
4,340.00,811.00,0.38,
5,8.25,0.00,2.00,
6,365.75,830.00,0.34,
7,21.00,0.00,2.00,
8,4.50,0.00,2.00,
9,386.00,832.00,0.34,
10,336.75,811.00,0.38,
11,2.50,0.00,2.00,
12,296.00,750.00,0.50,
13,1.00,0.00,2.00,
14,371.25,788.00,0.42,
15,350.25,707.00,0.59,
16,313.75,839.00,0.32,
17,9.50,0.00,2.00,
18,9.75,0.00,2.00,
19,20.00,0.00,2.00,
20,0.75,0.00,2.00,
21,33.75,0.00,2.00,
22,36.50,4.00,1.99,
23,366.00,820.00,0.36,
24,35.75,2.00,2.00,
25,379.00,797.00,0.41,
26,346.50,792.00,0.42,
27,307.50,776.00,0.45,
28,31.75,1.00,2.00,
29,313.50,823.00,0.35,
30,349.50,777.00,0.45,
31,3.00,0.00,2.00,
32,7.50,1.00,2.00,
33,3.00,0.00,2.00,
34,282.75,778.00,0.44,
35,294.75,827.00,0.35,
36,9.50,1.00,2.00,
37,292.75,837.00,0.33,
38,8.25,0.00,2.00,
39,1.75,0.00,2.00,
40,8.00,0.00,2.00,
41,369.50,783.00,0.43,
42,10.00,0.00,2.00,
43,1.50,0.00,2.00,
44,421.50,807.00,0.39,
45,10.25,0.00,2.00,
46,70.75,1.00,2.00,
47,11.75,0.00,2.00,
48,317.75,844.00,0.31,
49,329.25,839.00,0.32,
50,7.75,0.00,2.00,
51,37.75,5.00,1.99,
52,414.00,727.00,0.55,
53,15.75,0.00,2.00,
54,39.25,3.00,1.99,
55,366.00,755.00,0.49,
56,310.50,799.00,0.40,
57,321.00,803.00,0.39,
58,318.50,748.00,0.50,
59,230.50,751.00,0.50,
60,330.00,814.00,0.37,
61,417.00,809.00,0.38,
62,34.75,0.00,2.00,
63,292.00,846.00,0.31,
64,11.00,0.00,2.00,
65,0.75,0.00,2.00,
66,291.50,806.00,0.39,
67,2.75,0.00,2.00,
68,3.75,0.00,2.00,
69,19.50,1.00,2.00,
70,402.00,706.00,0.59,
71,33.00,1.00,2.00,
72,9.25,0.00,2.00,
73,17.75,0.00,2.00,
74,281.25,804.00,0.39,
75,21.50,2.00,2.00,
76,258.25,844.00,0.31,
77,7.00,0.00,2.00,
78,11.50,0.00,2.00,
79,2.25,0.00,2.00,
80,23.50,0.00,2.00,
81,12.25,0.00,2.00,
82,9.00,0.00,2.00,
83,351.50,834.00,0.33,
84,47.25,3.00,1.99,
85,4.50,0.00,2.00,
86,2.75,0.00,2.00,
87,249.75,809.00,0.38,
88,17.25,0.00,2.00,
89,371.50,809.00,0.38,
90,331.25,806.00,0.39,
91,2.25,0.00,2.00,
92,5.50,0.00,2.00,
93,296.50,773.00,0.45,
94,15.25,0.00,2.00,
95,309.50,772.00,0.46,
96,36.00,2.00,2.00,
97,327.25,805.00,0.39,
98,380.75,802.00,0.40,
99,273.00,852.00,0.30,
100,17.75,2.00,2.00,
101,312.00,806.00,0.39,
102,12.25,0.00,2.00,
103,17.25,0.00,2.00,
