,Duration,Epidemic,Rt
0,14.25,1.0,1.998
1,2.75,0.0,2.0
2,284.0,805.0,0.39
3,255.5,796.0,0.408
4,13.75,1.0,1.998
5,230.75,848.0,0.304
6,1.75,0.0,2.0
7,292.5,803.0,0.394
8,8.25,1.0,1.998
9,27.0,0.0,2.0
10,11.25,1.0,1.998
11,5.5,0.0,2.0
12,26.0,5.0,1.99
13,282.75,844.0,0.312
14,252.75,791.0,0.418
15,1.5,0.0,2.0
16,1.25,0.0,2.0
17,286.0,787.0,0.426
18,11.25,1.0,1.998
19,9.0,0.0,2.0
20,251.5,794.0,0.412
21,246.5,797.0,0.406
22,210.0,780.0,0.44
23,186.75,795.0,0.41
24,4.0,0.0,2.0
25,7.75,0.0,2.0
26,322.0,769.0,0.462
27,236.75,826.0,0.348
28,1.0,0.0,2.0
29,215.0,763.0,0.474
30,11.75,1.0,1.998
31,12.5,1.0,1.998
32,0.75,0.0,2.0
33,281.75,784.0,0.432
34,244.5,831.0,0.338
35,1.25,0.0,2.0
36,237.5,841.0,0.318
37,13.75,2.0,1.996
38,1.0,0.0,2.0
39,281.5,791.0,0.418
40,231.0,774.0,0.452
41,225.75,776.0,0.448
42,64.5,19.0,1.962
43,9.0,0.0,2.0
44,8.5,0.0,2.0
45,260.0,782.0,0.436
46,2.5,0.0,2.0
47,2.0,0.0,2.0
48,271.5,808.0,0.384
49,6.0,0.0,2.0
50,252.75,805.0,0.39
51,42.25,5.0,1.99
52,20.25,3.0,1.994
53,239.75,791.0,0.418
54,1.25,0.0,2.0
55,251.0,775.0,0.45
56,233.5,808.0,0.384
57,246.25,751.0,0.498
58,0.75,0.0,2.0
59,255.0,830.0,0.34
60,256.0,818.0,0.364
61,8.75,0.0,2.0
62,18.25,2.0,1.996
63,231.25,808.0,0.384
64,26.75,3.0,1.994
65,227.75,781.0,0.438
66,2.0,0.0,2.0
67,247.5,831.0,0.338
68,229.75,794.0,0.412
69,323.5,816.0,0.368
70,281.5,813.0,0.374
71,6.5,1.0,1.998
72,2.5,0.0,2.0
73,422.75,816.0,0.368
74,8.0,2.0,1.996
75,310.5,803.0,0.394
76,1.0,0.0,2.0
77,313.75,796.0,0.408
78,1.0,0.0,2.0
79,1.75,0.0,2.0
80,223.5,793.0,0.414
81,18.25,2.0,1.996
82,1.25,0.0,2.0
83,217.25,809.0,0.382
84,40.5,9.0,1.982
85,8.5,1.0,1.998
86,1.5,0.0,2.0
87,23.25,1.0,1.998
88,0.75,0.0,2.0
89,220.5,808.0,0.384
90,290.5,749.0,0.502
91,1.0,0.0,2.0
92,3.75,0.0,2.0
93,300.5,772.0,0.456
94,7.25,0.0,2.0
95,259.5,837.0,0.326
96,3.75,0.0,2.0
97,9.5,0.0,2.0
98,7.75,0.0,2.0
99,247.5,764.0,0.472
100,27.0,2.0,1.996
101,226.0,858.0,0.284
102,13.25,0.0,2.0
103,10.5,0.0,2.0
104,257.0,757.0,0.486
105,207.0,804.0,0.392
106,246.0,784.0,0.432
107,233.25,736.0,0.528
108,286.5,825.0,0.35
109,4.25,0.0,2.0
110,10.0,0.0,2.0
111,294.0,792.0,0.416
112,3.75,0.0,2.0
113,28.5,5.0,1.99
114,3.0,0.0,2.0
115,3.5,0.0,2.0
116,10.0,2.0,1.996
117,385.0,790.0,0.42
118,291.75,781.0,0.438
119,224.5,777.0,0.446
120,4.5,1.0,1.998
121,5.0,1.0,1.998
122,0.75,0.0,2.0
123,241.5,782.0,0.436
124,2.75,0.0,2.0
125,207.25,807.0,0.386
126,199.75,811.0,0.378
127,224.25,798.0,0.404
128,0.5,0.0,2.0
129,15.0,1.0,1.998
130,215.75,787.0,0.426
131,4.75,0.0,2.0
132,280.75,795.0,0.41
133,249.25,798.0,0.404
134,235.0,741.0,0.518
135,16.0,0.0,2.0
136,0.75,0.0,2.0
137,218.5,803.0,0.394
138,22.75,3.0,1.994
139,0.5,0.0,2.0
140,1.75,0.0,2.0
141,202.75,778.0,0.444
142,13.0,1.0,1.998
143,26.0,5.0,1.99
144,234.5,856.0,0.288
145,13.0,0.0,2.0
146,0.75,0.0,2.0
147,2.5,0.0,2.0
148,290.25,825.0,0.35
149,316.5,780.0,0.44
150,6.5,1.0,1.998
151,239.75,807.0,0.386
152,236.5,786.0,0.428
153,270.25,793.0,0.414
154,216.0,794.0,0.412
155,8.75,0.0,2.0
156,3.75,1.0,1.998
157,2.25,0.0,2.0
158,250.25,798.0,0.404
159,357.0,833.0,0.334
160,242.5,740.0,0.52
161,0.25,0.0,2.0
162,290.5,857.0,0.286
163,7.5,0.0,2.0
164,256.25,843.0,0.314
165,1.25,0.0,2.0
166,281.5,820.0,0.36
167,269.75,740.0,0.52
168,292.75,780.0,0.44
169,301.0,856.0,0.288
170,26.25,3.0,1.994
171,3.5,0.0,2.0
172,12.0,2.0,1.996
173,263.0,730.0,0.54
174,215.75,820.0,0.36
175,1.5,0.0,2.0
176,6.75,0.0,2.0
177,4.25,0.0,2.0
178,199.0,736.0,0.528
179,274.5,793.0,0.414
180,14.5,0.0,2.0
181,289.0,843.0,0.314
182,19.5,0.0,2.0
183,11.5,1.0,1.998
184,0.75,0.0,2.0
185,231.0,828.0,0.344
186,241.75,780.0,0.44
187,279.5,854.0,0.292
188,4.5,0.0,2.0
189,1.0,0.0,2.0
190,278.5,785.0,0.43
191,224.0,798.0,0.404
192,1.0,0.0,2.0
193,193.75,777.0,0.446
194,3.25,1.0,1.998
195,5.5,0.0,2.0
196,0.75,0.0,2.0
197,16.75,2.0,1.996
198,256.25,775.0,0.45
199,229.0,760.0,0.48
200,3.25,0.0,2.0
201,20.0,2.0,1.996
202,3.0,1.0,1.998
203,234.0,832.0,0.336
204,247.5,802.0,0.396
205,250.0,749.0,0.502
206,13.0,1.0,1.998
207,277.5,797.0,0.406
208,237.25,830.0,0.34
209,9.5,0.0,2.0
210,0.5,0.0,2.0
211,6.75,1.0,1.998
212,12.5,0.0,2.0
213,13.0,1.0,1.998
214,249.5,816.0,0.368
215,0.75,0.0,2.0
216,226.5,754.0,0.492
217,18.75,0.0,2.0
218,4.5,0.0,2.0
219,260.5,798.0,0.404
220,199.0,760.0,0.48
221,4.25,0.0,2.0
222,273.75,797.0,0.406
223,3.75,0.0,2.0
224,270.25,800.0,0.4
225,284.75,741.0,0.518
226,1.0,0.0,2.0
227,297.0,829.0,0.342
228,13.0,0.0,2.0
229,23.5,3.0,1.994
230,254.0,801.0,0.398
231,359.75,724.0,0.552
232,8.75,3.0,1.994
233,220.5,801.0,0.398
234,241.25,790.0,0.42
235,2.25,0.0,2.0
236,349.5,791.0,0.418
237,213.75,820.0,0.36
238,8.0,0.0,2.0
239,1.25,0.0,2.0
240,2.75,0.0,2.0
241,271.5,840.0,0.32
242,266.0,773.0,0.454
243,12.25,1.0,1.998
244,2.75,0.0,2.0
245,11.0,0.0,2.0
246,5.75,0.0,2.0
247,251.75,708.0,0.584
248,28.0,7.0,1.986
