r.num,Duration,Epidemic,Rt,
1,279.25,815.00,0.37,
2,208.25,790.00,0.42,
3,4.75,0.00,2.00,
4,255.50,846.00,0.31,
5,274.25,828.00,0.34,
6,3.00,0.00,2.00,
7,263.75,841.00,0.32,
8,237.00,773.00,0.45,
9,202.00,816.00,0.37,
10,240.75,801.00,0.40,
11,213.25,725.00,0.55,
12,0.50,0.00,2.00,
13,21.25,0.00,2.00,
14,287.50,817.00,0.37,
15,13.00,2.00,2.00,
16,211.75,786.00,0.43,
17,295.00,837.00,0.33,
18,223.75,787.00,0.43,
19,5.75,0.00,2.00,
20,4.75,0.00,2.00,
21,249.50,832.00,0.34,
22,5.50,0.00,2.00,
23,281.00,802.00,0.40,
24,0.50,0.00,2.00,
25,275.25,793.00,0.41,
26,305.50,824.00,0.35,
27,237.00,788.00,0.42,
28,299.75,745.00,0.51,
29,0.25,0.00,2.00,
30,234.00,797.00,0.41,
31,225.50,812.00,0.38,
32,3.25,0.00,2.00,
33,5.25,1.00,2.00,
34,223.50,779.00,0.44,
35,1.25,0.00,2.00,
36,7.50,1.00,2.00,
37,258.25,766.00,0.47,
38,14.00,0.00,2.00,
39,307.00,785.00,0.43,
40,230.25,834.00,0.33,
41,256.00,783.00,0.43,
42,1.25,0.00,2.00,
43,285.00,807.00,0.39,
44,225.25,825.00,0.35,
45,4.75,0.00,2.00,
46,300.00,816.00,0.37,
47,361.75,790.00,0.42,
48,7.75,2.00,2.00,
49,4.75,0.00,2.00,
50,263.75,811.00,0.38,
51,219.00,778.00,0.44,
52,225.00,830.00,0.34,
53,279.50,839.00,0.32,
54,257.00,768.00,0.46,
55,0.75,1.00,2.00,
56,8.50,1.00,2.00,
57,273.25,793.00,0.41,
58,0.50,0.00,2.00,
59,262.25,802.00,0.40,
60,241.00,794.00,0.41,
61,1.75,0.00,2.00,
62,4.00,0.00,2.00,
63,236.75,813.00,0.37,
64,6.25,0.00,2.00,
65,200.25,805.00,0.39,
66,10.00,0.00,2.00,
67,7.25,1.00,2.00,
68,25.50,4.00,1.99,
69,25.50,0.00,2.00,
70,2.50,0.00,2.00,
71,276.75,771.00,0.46,
72,1.25,0.00,2.00,
73,6.00,0.00,2.00,
74,7.25,0.00,2.00,
75,1.50,0.00,2.00,
76,17.00,1.00,2.00,
77,253.75,741.00,0.52,
78,2.00,0.00,2.00,
79,297.00,746.00,0.51,
80,3.75,0.00,2.00,
81,240.00,742.00,0.52,
82,14.75,2.00,2.00,
83,7.00,1.00,2.00,
84,1.00,0.00,2.00,
85,250.75,780.00,0.44,
86,55.00,11.00,1.98,
87,184.50,833.00,0.33,
88,285.75,822.00,0.36,
89,13.00,1.00,2.00,
90,250.25,797.00,0.41,
91,6.25,0.00,2.00,
92,9.25,0.00,2.00,
93,15.75,1.00,2.00,
94,236.75,770.00,0.46,
95,10.00,1.00,2.00,
96,208.00,826.00,0.35,
97,12.25,1.00,2.00,
98,6.00,0.00,2.00,
99,315.25,714.00,0.57,
100,337.25,713.00,0.57,
101,9.00,0.00,2.00,
102,1.25,0.00,2.00,
103,1.50,0.00,2.00,
104,234.50,849.00,0.30,
105,212.00,797.00,0.41,
106,307.50,805.00,0.39,
107,321.00,835.00,0.33,
108,289.50,788.00,0.42,
109,4.75,1.00,2.00,
110,299.00,798.00,0.40,
111,1.00,0.00,2.00,
112,244.00,703.00,0.59,
113,13.75,1.00,2.00,
114,216.75,858.00,0.28,
115,184.00,820.00,0.36,
116,281.00,811.00,0.38,
117,298.75,832.00,0.34,
118,239.25,800.00,0.40,
119,11.75,2.00,2.00,
120,286.25,798.00,0.40,
121,15.50,2.00,2.00,
122,12.25,0.00,2.00,
123,7.50,0.00,2.00,
124,238.25,806.00,0.39,
125,2.00,1.00,2.00,
126,3.00,0.00,2.00,
127,206.50,768.00,0.46,
128,1.00,0.00,2.00,
129,226.75,752.00,0.50,
130,258.00,790.00,0.42,
131,234.75,776.00,0.45,
132,288.75,772.00,0.46,
133,277.00,786.00,0.43,
134,24.00,0.00,2.00,
135,237.50,800.00,0.40,
136,2.50,0.00,2.00,
137,32.75,7.00,1.99,
138,354.50,835.00,0.33,
139,43.75,8.00,1.98,
140,263.00,797.00,0.41,
141,13.75,1.00,2.00,
142,1.75,0.00,2.00,
143,258.75,829.00,0.34,
144,4.50,2.00,2.00,
145,223.75,744.00,0.51,
146,3.75,0.00,2.00,
147,3.00,0.00,2.00,
148,266.50,748.00,0.50,
149,253.75,740.00,0.52,
150,225.25,773.00,0.45,
151,12.00,4.00,1.99,
152,286.25,819.00,0.36,
153,223.50,823.00,0.35,
154,3.75,1.00,2.00,
155,15.50,1.00,2.00,
156,6.75,1.00,2.00,
157,215.75,797.00,0.41,
158,217.25,804.00,0.39,
159,241.75,777.00,0.45,
160,266.00,791.00,0.42,
161,218.50,804.00,0.39,
162,12.75,3.00,1.99,
163,292.75,766.00,0.47,
164,257.25,817.00,0.37,
165,295.00,827.00,0.35,
166,211.25,818.00,0.36,
