,Duration,Epidemic
0,9.25,1.0
2273,16.25,1.0
2271,14.75,1.0
2269,32.25,1.0
2264,15.0,1.0
2260,13.0,1.0
2253,17.75,1.0
2252,7.25,1.0
2247,12.25,1.0
2245,11.5,1.0
2244,13.0,1.0
2274,4.75,1.0
2232,8.0,1.0
2223,19.75,1.0
2211,7.25,1.0
2210,9.25,1.0
2207,9.5,1.0
2201,15.25,1.0
2197,13.75,1.0
2190,14.25,1.0
2189,11.75,1.0
2183,8.0,1.0
2179,11.25,1.0
2225,21.0,1.0
2280,12.75,1.0
2281,10.5,1.0
2283,14.75,1.0
2380,41.0,1.0
2378,30.5,1.0
2377,3.5,1.0
2376,5.75,1.0
2374,11.0,1.0
2372,19.0,1.0
2371,16.75,1.0
2370,29.25,1.0
2368,6.0,1.0
2355,4.75,1.0
2352,13.0,1.0
2350,13.5,1.0
2348,4.75,1.0
2347,19.75,1.0
2346,21.75,1.0
2339,3.25,1.0
2336,26.75,1.0
2333,12.5,1.0
2325,10.5,1.0
2324,26.75,1.0
2319,11.75,1.0
2312,11.5,1.0
2285,5.5,1.0
2178,15.75,1.0
2166,15.5,1.0
2163,4.25,1.0
2162,3.5,1.0
2029,12.0,1.0
2020,26.75,1.0
2018,10.25,1.0
2013,5.5,1.0
2007,13.0,1.0
2005,10.75,1.0
2003,17.5,1.0
2001,4.5,1.0
1996,10.0,1.0
1995,16.75,1.0
1994,10.25,1.0
1988,22.5,1.0
1981,5.5,1.0
1974,23.75,1.0
1961,29.0,1.0
1949,12.75,1.0
1948,14.75,1.0
1938,10.75,1.0
1934,15.75,1.0
1930,11.0,1.0
1928,12.75,1.0
1919,11.0,1.0
1916,6.5,1.0
2032,16.5,1.0
2385,10.25,1.0
2038,7.75,1.0
2045,14.75,1.0
2158,18.0,1.0
2155,6.75,1.0
2151,12.5,1.0
2149,10.0,1.0
2146,5.25,1.0
2145,7.25,1.0
2140,6.25,1.0
2138,24.25,1.0
2127,16.75,1.0
2125,28.5,1.0
2123,17.75,1.0
2113,16.0,1.0
2112,8.0,1.0
2108,11.75,1.0
2106,8.25,1.0
2101,14.25,1.0
2093,10.75,1.0
2091,14.25,1.0
2074,13.0,1.0
2071,11.75,1.0
2069,11.25,1.0
2067,17.0,1.0
2062,15.25,1.0
2042,15.5,1.0
2391,20.25,1.0
2392,12.0,1.0
2393,9.0,1.0
2841,11.0,1.0
2840,9.25,1.0
2835,26.0,1.0
2833,6.5,1.0
2829,17.0,1.0
2815,14.25,1.0
2813,28.75,1.0
2810,14.5,1.0
2807,9.25,1.0
2799,15.75,1.0
2793,10.0,1.0
2782,2.5,1.0
2780,21.0,1.0
2778,10.5,1.0
2775,18.5,1.0
2770,8.0,1.0
2762,5.5,1.0
2757,16.5,1.0
2755,15.25,1.0
2745,20.25,1.0
2741,21.0,1.0
2740,5.75,1.0
2738,23.0,1.0
2845,29.0,1.0
2731,28.0,1.0
2852,16.75,1.0
2855,16.5,1.0
2969,15.0,1.0
2968,12.5,1.0
2967,11.75,1.0
2959,13.0,1.0
2952,17.75,1.0
2949,21.75,1.0
2945,6.75,1.0
2944,12.0,1.0
2942,13.25,1.0
2935,10.75,1.0
2931,27.75,1.0
2924,5.5,1.0
2921,18.75,1.0
2918,7.75,1.0
2911,20.0,1.0
2909,19.0,1.0
2901,14.75,1.0
2897,9.0,1.0
2893,22.25,1.0
2879,9.5,1.0
2872,20.5,1.0
2869,24.25,1.0
2858,6.5,1.0
2853,6.0,1.0
1909,15.5,1.0
2727,9.0,1.0
2714,28.25,1.0
2525,13.5,1.0
2510,21.5,1.0
2508,13.5,1.0
2502,11.75,1.0
2493,11.0,1.0
2487,7.0,1.0
2485,4.5,1.0
2483,9.5,1.0
2478,9.5,1.0
2472,11.5,1.0
2471,10.0,1.0
2464,12.0,1.0
2462,21.25,1.0
2458,15.5,1.0
2457,13.25,1.0
2445,7.25,1.0
2439,14.75,1.0
2437,19.0,1.0
2409,11.5,1.0
2405,5.25,1.0
2404,12.0,1.0
2398,11.75,1.0
2397,16.0,1.0
2537,15.25,1.0
2720,11.0,1.0
2551,12.5,1.0
2558,24.25,1.0
2709,20.5,1.0
2708,18.25,1.0
2706,5.5,1.0
2704,13.0,1.0
2703,12.5,1.0
2684,17.75,1.0
2674,7.0,1.0
2673,13.25,1.0
2661,12.75,1.0
2653,11.0,1.0
2644,23.0,1.0
2641,12.25,1.0
2631,29.5,1.0
2616,18.0,1.0
2614,22.25,1.0
2612,20.25,1.0
2600,33.75,1.0
2599,11.75,1.0
2598,23.25,1.0
2586,17.75,1.0
2581,12.25,1.0
2569,10.75,1.0
2562,7.0,1.0
2555,25.25,1.0
2971,22.0,1.0
1906,32.25,1.0
1894,11.75,1.0
1224,13.5,1.0
1219,6.25,1.0
1210,7.75,1.0
1206,28.75,1.0
1205,18.25,1.0
1204,18.5,1.0
1201,23.0,1.0
1198,6.0,1.0
1193,14.5,1.0
1190,17.25,1.0
1236,12.25,1.0
1181,21.25,1.0
1177,21.75,1.0
1171,8.25,1.0
1167,13.25,1.0
1162,13.0,1.0
1155,13.25,1.0
1144,9.25,1.0
1129,15.75,1.0
1127,4.25,1.0
