,Duration,Epidemic,ep_high,ep_low,Rt,delay,time_until_measure,measure occured
0,5.0,0.0,0.0,0.0,1.8534710450300154,0.0,0.0,0.0
6257,9.0,0.0,0.0,0.0,2.1361999381417824,0.0,0.0,0.0
6256,6.75,0.0,0.0,0.0,1.6829053474002786,0.0,0.0,0.0
6251,23.5,0.0,0.0,0.0,1.592632890956502,0.0,0.0,0.0
6248,10.75,0.0,0.0,0.0,2.2577213741873305,0.0,0.0,0.0
2133,11.25,0.0,0.0,0.0,1.5308106417927714,0.0,0.0,0.0
6246,13.0,0.0,0.0,0.0,1.8108041837404982,0.0,0.0,0.0
6239,6.5,0.0,0.0,0.0,2.131531377911492,0.0,0.0,0.0
2143,25.0,0.0,0.0,0.0,2.0625964564421375,0.0,0.0,0.0
6236,6.75,0.0,0.0,0.0,1.6165259572286732,0.0,0.0,0.0
2146,7.25,0.0,0.0,0.0,2.0766218805864174,0.0,0.0,0.0
2147,10.75,0.0,0.0,0.0,1.8052764904585468,0.0,0.0,0.0
6235,16.5,0.0,0.0,0.0,1.5810987587213001,0.0,0.0,0.0
6229,17.5,0.0,0.0,0.0,1.631535521436466,0.0,0.0,0.0
6228,13.5,0.0,0.0,0.0,1.968417842815585,0.0,0.0,0.0
6226,10.75,0.0,0.0,0.0,2.2127600815052175,0.0,0.0,0.0
6216,12.5,0.0,0.0,0.0,1.8111376944196778,0.0,0.0,0.0
6214,22.25,0.0,0.0,0.0,1.8997512248037425,0.0,0.0,0.0
6260,14.0,0.0,0.0,0.0,2.046571705661583,0.0,0.0,0.0
6266,23.0,0.0,0.0,0.0,1.9929746792971816,0.0,0.0,0.0
6267,24.5,0.0,0.0,0.0,1.875359147001992,0.0,0.0,0.0
6269,18.75,0.0,0.0,0.0,2.3451719064648247,0.0,0.0,0.0
6310,5.75,0.0,0.0,0.0,2.1594096530590883,0.0,0.0,0.0
6306,28.5,0.0,0.0,0.0,1.5926443692934522,0.0,0.0,0.0
6298,16.5,0.0,0.0,0.0,2.426901983069349,0.0,0.0,0.0
2099,10.5,0.0,0.0,0.0,2.2873686403081206,0.0,0.0,0.0
6297,16.25,0.0,0.0,0.0,1.6627524680383838,0.0,0.0,0.0
6296,25.0,0.0,0.0,0.0,2.4848089935408835,0.0,0.0,0.0
6295,25.25,0.0,0.0,0.0,1.637954151326996,0.0,0.0,0.0
6290,9.25,0.0,0.0,0.0,2.023516895146076,0.0,0.0,0.0
2157,17.0,0.0,0.0,0.0,1.9962497604251725,0.0,0.0,0.0
