,Duration,Epidemic,ep_high,ep_low,delay,time_until_measure,measure occured
2,10.75,0.0,0.0,0.0,11.20859765614501,0.0,0.0
6,21.25,0.0,0.0,0.0,4.909831053943225,0.0,0.0
11,14.25,0.0,0.0,0.0,1.976710579532547,0.0,0.0
14,7.5,0.0,0.0,0.0,4.719790550608772,0.0,0.0
13,4.25,0.0,0.0,0.0,2.342923839910036,0.0,0.0
7,32.5,1.0,1.0,0.0,2.4106399071620093,0.0,0.0
9,29.25,2.0,1.0,1.0,8.63699666201562,0.0,0.0
5,15.0,2.0,2.0,0.0,2.4935159513375345,0.0,0.0
8,45.0,2.0,2.0,0.0,11.135648235027041,0.0,0.0
10,99.25,9.0,6.0,3.0,4.575760548926349,0.0,0.0
16,252.5,144.0,100.0,44.0,0.7545088516710577,66.50450885167106,1.0
15,271.0,148.0,110.0,38.0,1.4966516983920848,74.49665169839209,1.0
17,223.75,171.0,123.0,48.0,0.286228020033901,84.0362280200339,1.0
18,214.5,198.0,140.0,58.0,0.1025803187123229,69.60258031871233,1.0
19,235.5,200.0,142.0,58.0,1.1283712923451215,92.87837129234512,1.0
12,227.75,225.0,171.0,54.0,0.5094638625853282,63.50946386258533,1.0
3,289.25,300.0,226.0,74.0,1.5970851906611978,88.3470851906612,1.0
4,281.0,336.0,224.0,112.0,0.3706759371707925,65.87067593717079,1.0
1,234.0,388.0,271.0,117.0,1.973612984633969,70.97361298463397,1.0
0,287.75,398.0,281.0,117.0,0.12998065503364722,63.12998065503365,1.0
