,Duration,Epidemic
99,7.25,0.0
75,13.75,0.0
36,3.25,0.0
37,2.25,0.0
135,10.75,0.0
127,4.75,0.0
41,4.0,0.0
124,1.5,0.0
43,2.5,0.0
123,2.25,0.0
120,0.75,0.0
116,5.5,0.0
113,6.75,0.0
105,5.75,0.0
102,13.5,0.0
136,3.5,0.0
101,2.5,0.0
53,7.5,0.0
55,12.25,0.0
56,0.5,0.0
57,17.25,0.0
93,1.25,0.0
89,7.0,0.0
60,3.75,0.0
87,2.5,0.0
62,0.5,0.0
84,1.5,0.0
81,11.5,0.0
66,6.0,0.0
79,7.75,0.0
76,6.5,0.0
95,1.5,0.0
33,0.75,0.0
35,10.0,0.0
31,2.25,0.0
197,2.5,0.0
196,13.5,0.0
3,4.5,0.0
195,6.25,0.0
194,5.25,0.0
192,5.25,0.0
187,1.25,0.0
185,6.25,0.0
184,10.25,0.0
183,6.5,0.0
180,1.0,0.0
12,8.75,0.0
177,1.0,0.0
175,2.5,0.0
140,6.5,0.0
71,6.25,0.0
171,1.5,0.0
30,6.75,0.0
141,1.5,0.0
146,0.75,0.0
20,0.5,0.0
21,3.5,0.0
161,7.75,0.0
158,6.5,0.0
16,1.0,0.0
26,2.0,0.0
96,7.25,1.0
80,4.0,1.0
147,8.0,1.0
156,5.75,1.0
154,29.25,1.0
162,11.25,1.0
94,29.25,1.0
168,10.0,1.0
133,11.25,1.0
174,5.75,1.0
0,1.25,1.0
44,24.5,1.0
45,3.75,1.0
39,21.0,1.0
49,7.5,1.0
25,5.25,1.0
23,6.5,1.0
51,12.0,1.0
69,9.75,1.0
138,17.5,2.0
145,20.25,2.0
83,28.75,2.0
166,24.5,2.0
186,9.75,2.0
6,12.75,2.0
119,25.75,2.0
78,15.25,3.0
91,10.0,3.0
22,48.75,4.0
32,27.75,4.0
137,16.25,4.0
17,18.75,4.0
159,47.0,5.0
15,28.0,5.0
92,25.5,6.0
130,60.0,6.0
14,17.0,7.0
90,43.25,7.0
189,36.75,9.0
77,47.75,13.0
67,235.25,719.0
110,326.25,719.0
70,244.25,726.0
100,215.75,728.0
125,282.0,739.0
18,277.25,753.0
128,224.5,755.0
11,278.75,756.0
126,243.0,759.0
52,270.5,759.0
97,369.75,763.0
1,302.5,763.0
139,219.5,765.0
46,214.0,767.0
153,219.25,768.0
42,303.5,769.0
109,292.0,772.0
104,251.25,773.0
198,237.0,775.0
38,304.5,777.0
27,350.5,777.0
132,227.75,778.0
103,271.5,779.0
65,240.75,779.0
4,227.5,782.0
134,251.25,786.0
160,232.0,786.0
179,271.0,788.0
13,282.0,791.0
115,215.75,793.0
148,307.75,794.0
2,206.75,794.0
143,241.25,795.0
9,255.5,795.0
86,217.5,795.0
150,232.25,796.0
193,203.5,796.0
59,237.5,796.0
172,245.25,797.0
191,217.75,798.0
24,215.25,799.0
106,295.0,799.0
178,284.25,799.0
88,195.25,799.0
10,200.0,799.0
82,262.75,799.0
190,206.75,800.0
74,214.0,801.0
165,208.25,802.0
29,254.75,802.0
61,245.75,804.0
111,191.5,804.0
170,226.0,805.0
142,245.25,805.0
58,213.0,807.0
152,343.25,807.0
112,252.5,808.0
163,329.5,809.0
169,257.0,810.0
181,247.75,810.0
144,214.75,810.0
122,235.5,811.0
107,200.5,811.0
54,211.75,812.0
5,224.25,814.0
151,182.0,814.0
155,297.75,817.0
129,333.0,818.0
118,349.0,818.0
50,205.25,818.0
176,209.25,819.0
63,291.0,819.0
117,225.75,822.0
7,219.5,823.0
28,256.75,823.0
72,207.75,826.0
98,249.5,826.0
48,212.5,826.0
121,207.5,826.0
40,218.0,827.0
167,219.0,830.0
157,316.0,830.0
114,239.0,831.0
188,223.75,831.0
182,262.0,832.0
64,234.5,832.0
47,260.25,833.0
149,211.75,838.0
68,284.5,839.0
173,221.5,841.0
199,276.5,843.0
34,247.75,846.0
8,196.25,848.0
19,244.0,848.0
85,203.25,849.0
131,230.25,849.0
164,245.75,856.0
73,224.25,861.0
108,212.5,873.0
