,ABM.Range,ABM.PDF,ABM.CDF,CSS.Range,CSS.PDF,CSS.CDF,Reference
0,0,322,0.322,0,0.288,0.288,0
1,50,0,0.322,50,0,0.288,1
2,100,1,0.323,100,0.001,0.289,
3,150,11,0.334,150,0.031,0.32,
4,200,46,0.38,200,0.088,0.408,
5,250,136,0.516,250,0.2,0.608,
6,300,156,0.672,300,0.191,0.799,
7,350,166,0.838,350,0.131,0.93,
8,400,87,0.925,400,0.055,0.985,
9,450,41,0.966,450,0.014,0.999,
10,500,23,0.989,500,0.001,1,
11,550,9,0.998,550,0,1,
12,600,1,0.999,600,0,1,
13,650,1,1,650,0,1,
14,700,0,1,700,0,1,
15,750,0,1,750,0,1,
16,800,0,1,800,0,1,
17,850,0,1,850,0,1,
18,900,0,1,900,0,1,
19,950,0,1,950,0,1,
