r.num,Duration,Epidemic,
1,136.00,181.00,
2,293.00,231.00,
3,300.00,412.00,
4,285.00,318.00,
5,341.00,315.00,
6,270.00,270.00,
7,289.00,340.00,
8,26.00,2.00,
9,251.00,334.00,
10,441.00,255.00,
11,247.00,336.00,
12,280.00,294.00,
13,9.00,0.00,
14,215.00,225.00,
15,204.00,519.00,
16,182.00,375.00,
17,265.00,328.00,
18,80.00,5.00,
19,273.00,334.00,
20,41.00,7.00,
21,38.00,1.00,
22,12.00,0.00,
23,24.00,0.00,
24,20.00,0.00,
25,296.00,323.00,
26,199.00,262.00,
27,236.00,260.00,
28,295.00,242.00,
29,234.00,369.00,
30,311.00,315.00,
31,13.00,0.00,
32,232.00,199.00,
33,15.00,0.00,
34,244.00,284.00,
35,233.00,250.00,
36,260.00,250.00,
37,268.00,332.00,
38,20.00,1.00,
39,363.00,321.00,
40,449.00,332.00,
41,289.00,298.00,
42,231.00,278.00,
43,16.00,0.00,
44,222.00,329.00,
45,212.00,408.00,
46,206.00,241.00,
47,317.00,314.00,
48,206.00,233.00,
49,238.00,275.00,
50,297.00,393.00,
51,257.00,355.00,
52,190.00,244.00,
53,386.00,424.00,
54,20.00,0.00,
55,284.00,421.00,
56,15.00,0.00,
57,268.00,259.00,
58,272.00,302.00,
59,16.00,0.00,
60,305.00,268.00,
61,276.00,276.00,
62,14.00,0.00,
63,301.00,295.00,
64,292.00,347.00,
65,193.00,278.00,
66,273.00,316.00,
67,208.00,336.00,
68,245.00,264.00,
69,190.00,392.00,
70,215.00,228.00,
71,283.00,234.00,
72,339.00,238.00,
73,15.00,1.00,
74,304.00,278.00,
75,223.00,334.00,
76,270.00,276.00,
77,7.00,0.00,
78,267.00,279.00,
79,320.00,324.00,
80,12.00,0.00,
81,35.00,0.00,
82,323.00,272.00,
83,241.00,313.00,
84,379.00,340.00,
85,272.00,389.00,
86,271.00,325.00,
87,273.00,440.00,
88,335.00,266.00,
89,293.00,388.00,
90,20.00,0.00,
91,51.00,6.00,
92,214.00,315.00,
93,10.00,0.00,
94,261.00,349.00,
95,30.00,0.00,
96,267.00,372.00,
97,14.00,0.00,
98,213.00,226.00,
99,289.00,269.00,
100,220.00,367.00,
101,194.00,201.00,
102,197.00,313.00,
103,324.00,209.00,
104,338.00,246.00,
105,332.00,220.00,
106,321.00,294.00,
107,26.00,2.00,
108,12.00,0.00,
109,267.00,195.00,
110,225.00,188.00,
111,14.00,0.00,
112,48.00,6.00,
113,386.00,286.00,
114,14.00,0.00,
115,404.00,343.00,
116,5.00,0.00,
117,214.00,254.00,
118,336.00,338.00,
119,253.00,298.00,
120,323.00,324.00,
121,245.00,350.00,
122,11.00,0.00,
123,334.00,289.00,
124,188.00,224.00,
125,238.00,412.00,
126,213.00,250.00,
127,384.00,293.00,
128,13.00,0.00,
129,314.00,288.00,
130,249.00,431.00,
131,334.00,373.00,
132,325.00,297.00,
133,36.00,1.00,
134,181.00,394.00,
135,13.00,0.00,
136,233.00,299.00,
137,206.00,197.00,
138,18.00,0.00,
139,235.00,307.00,
140,345.00,350.00,
141,24.00,0.00,
142,211.00,271.00,
143,269.00,225.00,
144,192.00,310.00,
145,212.00,419.00,
146,32.00,2.00,
147,186.00,179.00,
148,252.00,306.00,
149,321.00,387.00,
150,311.00,177.00,
151,261.00,355.00,
152,19.00,0.00,
153,35.00,2.00,
154,264.00,309.00,
155,236.00,343.00,
156,270.00,336.00,
157,248.00,300.00,
158,39.00,0.00,
159,19.00,1.00,
160,336.00,391.00,
161,189.00,254.00,
162,363.00,266.00,
163,259.00,233.00,
164,232.00,363.00,
165,246.00,414.00,
166,323.00,313.00,
167,279.00,349.00,
168,219.00,245.00,
169,232.00,343.00,
170,263.00,296.00,
171,46.00,1.00,
172,265.00,252.00,
173,45.00,2.00,
174,316.00,269.00,
175,258.00,351.00,
176,393.00,351.00,
177,7.00,0.00,
178,320.00,266.00,
179,19.00,1.00,
180,18.00,0.00,
181,346.00,209.00,
182,355.00,312.00,
183,227.00,255.00,
184,239.00,342.00,
185,250.00,292.00,
186,251.00,322.00,
187,270.00,260.00,
188,407.00,333.00,
189,264.00,292.00,
190,200.00,269.00,
191,232.00,161.00,
192,21.00,0.00,
193,271.00,381.00,
194,239.00,403.00,
195,11.00,0.00,
196,270.00,260.00,
197,223.00,412.00,
198,15.00,0.00,
199,248.00,294.00,
200,270.00,260.00,
201,291.00,352.00,
202,321.00,315.00,
203,329.00,256.00,
204,47.00,3.00,
205,204.00,402.00,
206,259.00,386.00,
207,229.00,380.00,
208,281.00,297.00,
209,288.00,301.00,
210,194.00,354.00,
211,323.00,316.00,
212,324.00,284.00,
213,31.00,2.00,
214,199.00,263.00,
215,203.00,203.00,
216,35.00,1.00,
217,26.00,1.00,
218,37.00,1.00,
219,9.00,0.00,
220,227.00,276.00,
221,231.00,216.00,
222,12.00,0.00,
223,22.00,0.00,
224,17.00,0.00,
225,290.00,389.00,
226,191.00,293.00,
227,240.00,362.00,
228,249.00,289.00,
229,273.00,352.00,
230,275.00,303.00,
231,23.00,0.00,
232,252.00,359.00,
233,236.00,439.00,
234,8.00,0.00,
235,227.00,477.00,
236,24.00,0.00,
237,8.00,0.00,
238,27.00,0.00,
239,271.00,399.00,
240,214.00,308.00,
241,301.00,307.00,
242,292.00,322.00,
243,246.00,276.00,
244,7.00,0.00,
245,56.00,9.00,
246,273.00,262.00,
247,340.00,289.00,
248,314.00,376.00,
249,244.00,316.00,
250,197.00,272.00,
251,249.00,283.00,
252,221.00,287.00,
253,21.00,1.00,
254,252.00,317.00,
255,28.00,1.00,
256,19.00,1.00,
257,260.00,301.00,
258,390.00,336.00,
259,217.00,303.00,
260,211.00,351.00,
261,292.00,482.00,
262,216.00,181.00,
263,315.00,317.00,
264,180.00,285.00,
265,11.00,0.00,
266,12.00,0.00,
267,226.00,231.00,
268,17.00,0.00,
269,203.00,276.00,
270,223.00,208.00,
271,239.00,335.00,
272,165.00,276.00,
273,22.00,0.00,
274,7.00,0.00,
275,245.00,311.00,
276,255.00,337.00,
277,267.00,318.00,
278,213.00,270.00,
279,8.00,0.00,
280,12.00,0.00,
281,208.00,182.00,
282,7.00,0.00,
283,163.00,163.00,
284,19.00,0.00,
285,311.00,379.00,
286,270.00,401.00,
287,9.00,0.00,
288,239.00,403.00,
289,242.00,312.00,
290,179.00,239.00,
291,8.00,0.00,
292,291.00,381.00,
293,308.00,208.00,
294,215.00,295.00,
295,354.00,355.00,
296,55.00,4.00,
297,238.00,340.00,
298,242.00,293.00,
299,20.00,0.00,
300,272.00,349.00,
301,246.00,226.00,
302,225.00,323.00,
303,367.00,368.00,
304,223.00,309.00,
305,294.00,274.00,
306,9.00,0.00,
307,232.00,326.00,
308,19.00,1.00,
309,240.00,213.00,
310,21.00,0.00,
311,12.00,0.00,
312,49.00,2.00,
313,300.00,458.00,
314,14.00,0.00,
315,29.00,2.00,
316,244.00,481.00,
317,32.00,2.00,
318,230.00,171.00,
319,217.00,317.00,
320,247.00,376.00,
321,251.00,172.00,
322,290.00,311.00,
323,265.00,375.00,
324,261.00,408.00,
325,315.00,220.00,
326,256.00,201.00,
327,370.00,315.00,
328,236.00,304.00,
329,256.00,430.00,
330,18.00,0.00,
331,6.00,0.00,
332,232.00,384.00,
333,15.00,0.00,
334,306.00,314.00,
335,10.00,0.00,
336,240.00,387.00,
337,292.00,317.00,
338,229.00,203.00,
339,21.00,0.00,
340,293.00,288.00,
341,268.00,299.00,
342,223.00,374.00,
343,10.00,0.00,
344,227.00,365.00,
345,309.00,303.00,
346,206.00,211.00,
347,348.00,323.00,
348,18.00,0.00,
349,319.00,402.00,
350,212.00,285.00,
351,52.00,2.00,
352,274.00,271.00,
353,64.00,5.00,
354,223.00,407.00,
355,260.00,332.00,
356,213.00,288.00,
357,228.00,266.00,
358,325.00,151.00,
359,285.00,257.00,
360,351.00,326.00,
361,214.00,226.00,
362,345.00,412.00,
363,230.00,262.00,
364,355.00,291.00,
365,243.00,352.00,
366,283.00,385.00,
367,297.00,341.00,
368,342.00,349.00,
369,23.00,0.00,
370,238.00,251.00,
371,300.00,296.00,
372,250.00,283.00,
373,250.00,286.00,
374,255.00,285.00,
375,287.00,387.00,
376,21.00,0.00,
377,25.00,0.00,
378,303.00,402.00,
379,11.00,0.00,
380,33.00,2.00,
381,194.00,453.00,
382,13.00,0.00,
383,270.00,421.00,
384,373.00,282.00,
385,32.00,2.00,
386,317.00,355.00,
387,225.00,261.00,
388,61.00,6.00,
389,263.00,382.00,
390,24.00,1.00,
391,29.00,0.00,
392,211.00,252.00,
393,257.00,385.00,
394,339.00,269.00,
395,286.00,285.00,
396,54.00,3.00,
397,310.00,279.00,
398,281.00,423.00,
399,277.00,374.00,
400,32.00,1.00,
401,272.00,328.00,
402,34.00,1.00,
403,296.00,259.00,
404,232.00,409.00,
405,297.00,380.00,
406,229.00,322.00,
407,197.00,232.00,
408,37.00,2.00,
409,7.00,0.00,
410,17.00,1.00,
411,407.00,318.00,
412,251.00,284.00,
413,264.00,289.00,
414,243.00,375.00,
415,367.00,277.00,
416,8.00,0.00,
417,63.00,4.00,
418,259.00,349.00,
419,299.00,224.00,
420,25.00,1.00,
421,252.00,335.00,
422,367.00,296.00,
423,295.00,236.00,
424,231.00,421.00,
425,13.00,0.00,
426,190.00,239.00,
427,338.00,371.00,
428,188.00,350.00,
429,371.00,264.00,
430,281.00,412.00,
431,206.00,289.00,
432,398.00,316.00,
433,21.00,0.00,
434,320.00,369.00,
435,305.00,213.00,
436,13.00,0.00,
437,191.00,249.00,
438,6.00,0.00,
439,362.00,368.00,
440,410.00,247.00,
441,184.00,260.00,
442,213.00,414.00,
443,208.00,158.00,
444,22.00,0.00,
445,229.00,210.00,
446,59.00,4.00,
447,20.00,1.00,
448,25.00,0.00,
449,275.00,218.00,
450,16.00,0.00,
451,202.00,226.00,
452,282.00,409.00,
453,328.00,365.00,
454,51.00,1.00,
455,270.00,359.00,
456,214.00,355.00,
457,26.00,1.00,
458,10.00,0.00,
459,243.00,346.00,
460,245.00,314.00,
461,232.00,366.00,
462,271.00,408.00,
463,236.00,250.00,
464,369.00,259.00,
465,28.00,0.00,
466,239.00,293.00,
467,328.00,407.00,
468,8.00,0.00,
469,210.00,386.00,
470,15.00,0.00,
471,304.00,197.00,
472,387.00,273.00,
473,31.00,1.00,
474,249.00,290.00,
475,268.00,257.00,
476,233.00,334.00,
477,307.00,452.00,
478,49.00,5.00,
479,248.00,397.00,
480,12.00,0.00,
481,250.00,267.00,
482,327.00,246.00,
483,231.00,286.00,
484,342.00,260.00,
485,250.00,356.00,
486,348.00,283.00,
487,7.00,0.00,
488,270.00,287.00,
489,297.00,378.00,
490,255.00,302.00,
491,280.00,423.00,
492,308.00,352.00,
493,30.00,2.00,
494,15.00,0.00,
495,231.00,233.00,
496,205.00,244.00,
497,12.00,0.00,
498,295.00,300.00,
499,386.00,301.00,
500,296.00,233.00,
501,275.00,297.00,
502,342.00,173.00,
503,324.00,321.00,
504,304.00,313.00,
505,345.00,288.00,
506,218.00,231.00,
507,324.00,303.00,
508,230.00,291.00,
509,253.00,334.00,
510,215.00,270.00,
511,11.00,0.00,
512,213.00,244.00,
513,191.00,178.00,
514,243.00,218.00,
515,258.00,365.00,
516,26.00,1.00,
517,19.00,0.00,
518,20.00,0.00,
519,22.00,1.00,
520,264.00,381.00,
521,289.00,299.00,
522,210.00,315.00,
523,325.00,418.00,
524,31.00,1.00,
525,184.00,209.00,
526,191.00,374.00,
527,267.00,401.00,
528,20.00,1.00,
529,223.00,486.00,
530,165.00,323.00,
531,271.00,330.00,
532,38.00,1.00,
533,228.00,379.00,
534,242.00,211.00,
535,198.00,404.00,
536,281.00,389.00,
537,240.00,191.00,
538,421.00,363.00,
539,261.00,355.00,
540,15.00,0.00,
541,42.00,8.00,
542,15.00,0.00,
543,227.00,282.00,
544,231.00,218.00,
545,9.00,0.00,
546,236.00,362.00,
547,232.00,260.00,
548,257.00,411.00,
549,254.00,292.00,
550,271.00,304.00,
551,23.00,0.00,
552,312.00,322.00,
553,5.00,0.00,
554,383.00,308.00,
555,26.00,1.00,
556,235.00,290.00,
557,278.00,293.00,
558,12.00,0.00,
559,12.00,0.00,
560,270.00,341.00,
561,23.00,0.00,
562,305.00,390.00,
563,293.00,455.00,
564,250.00,455.00,
565,4.00,0.00,
566,316.00,267.00,
567,377.00,300.00,
568,48.00,1.00,
569,232.00,339.00,
570,225.00,383.00,
571,263.00,365.00,
