r.num,Epidemic,
1,674.00,
2,644.00,
3,0.00,
4,700.00,
5,713.00,
6,668.00,
7,711.00,
8,740.00,
9,716.00,
10,635.00,
11,0.00,
12,1.00,
13,667.00,
14,656.00,
15,661.00,
16,640.00,
17,654.00,
18,684.00,
19,685.00,
20,0.00,
21,683.00,
22,0.00,
23,0.00,
24,710.00,
25,713.00,
26,0.00,
27,0.00,
28,0.00,
29,0.00,
30,677.00,
31,1.00,
32,664.00,
33,717.00,
34,0.00,
35,678.00,
36,687.00,
37,710.00,
38,724.00,
39,0.00,
40,678.00,
41,1.00,
42,658.00,
43,1.00,
44,0.00,
45,0.00,
46,704.00,
47,712.00,
48,650.00,
49,693.00,
50,1.00,
51,1.00,
52,691.00,
53,720.00,
54,634.00,
55,670.00,
56,679.00,
57,667.00,
58,656.00,
59,669.00,
60,0.00,
61,715.00,
62,0.00,
63,721.00,
64,0.00,
65,693.00,
66,2.00,
67,0.00,
68,725.00,
69,679.00,
70,729.00,
71,674.00,
72,725.00,
73,693.00,
74,1.00,
75,663.00,
76,631.00,
77,0.00,
78,711.00,
79,703.00,
80,0.00,
81,679.00,
82,663.00,
83,1.00,
84,659.00,
85,684.00,
86,727.00,
87,0.00,
88,0.00,
89,697.00,
90,699.00,
91,722.00,
92,1.00,
93,679.00,
94,692.00,
95,704.00,
96,644.00,
97,0.00,
98,686.00,
99,671.00,
100,0.00,
101,653.00,
102,682.00,
103,670.00,
104,1.00,
105,702.00,
106,708.00,
107,721.00,
108,719.00,
109,742.00,
110,724.00,
111,681.00,
112,2.00,
113,680.00,
114,706.00,
115,685.00,
116,738.00,
117,735.00,
118,703.00,
119,658.00,
120,684.00,
121,713.00,
122,702.00,
123,688.00,
124,0.00,
125,697.00,
126,685.00,
127,717.00,
128,699.00,
129,742.00,
130,705.00,
131,751.00,
132,711.00,
133,2.00,
134,678.00,
135,0.00,
136,691.00,
137,688.00,
138,692.00,
139,696.00,
140,684.00,
141,651.00,
142,690.00,
143,1.00,
144,682.00,
145,686.00,
146,709.00,
147,679.00,
148,0.00,
149,1.00,
150,676.00,
151,1.00,
152,715.00,
153,715.00,
154,712.00,
155,738.00,
156,672.00,
157,3.00,
158,655.00,
159,736.00,
160,679.00,
161,0.00,
162,683.00,
163,0.00,
164,666.00,
165,0.00,
166,622.00,
167,664.00,
168,686.00,
169,726.00,
170,0.00,
171,653.00,
172,688.00,
173,662.00,
174,678.00,
175,696.00,
176,0.00,
177,723.00,
178,703.00,
179,0.00,
180,0.00,
181,0.00,
182,0.00,
183,668.00,
184,0.00,
185,0.00,
186,1.00,
187,701.00,
188,721.00,
189,670.00,
190,711.00,
191,716.00,
192,679.00,
193,0.00,
194,644.00,
195,685.00,
196,721.00,
197,677.00,
198,643.00,
199,686.00,
200,701.00,
201,1.00,
202,723.00,
203,0.00,
204,641.00,
205,664.00,
206,711.00,
207,687.00,
208,664.00,
209,628.00,
210,728.00,
211,4.00,
212,0.00,
213,695.00,
214,674.00,
215,0.00,
216,709.00,
217,696.00,
218,664.00,
219,1.00,
220,2.00,
221,0.00,
222,687.00,
223,666.00,
224,715.00,
225,641.00,
226,652.00,
227,680.00,
228,675.00,
229,687.00,
230,0.00,
231,648.00,
232,676.00,
233,682.00,
234,662.00,
235,0.00,
236,659.00,
237,664.00,
238,657.00,
239,665.00,
240,0.00,
241,683.00,
242,707.00,
243,701.00,
244,633.00,
245,678.00,
246,2.00,
247,664.00,
248,691.00,
249,674.00,
250,695.00,
251,666.00,
252,688.00,
253,655.00,
254,0.00,
255,695.00,
256,738.00,
257,673.00,
258,678.00,
259,0.00,
260,2.00,
261,683.00,
262,706.00,
263,744.00,
264,700.00,
265,674.00,
266,686.00,
267,0.00,
268,642.00,
269,0.00,
270,0.00,
271,665.00,
272,696.00,
273,3.00,
274,645.00,
275,652.00,
276,690.00,
277,693.00,
278,670.00,
279,689.00,
280,682.00,
281,671.00,
282,722.00,
283,725.00,
284,694.00,
285,0.00,
286,719.00,
287,0.00,
288,645.00,
289,709.00,
290,705.00,
291,689.00,
292,715.00,
293,1.00,
294,679.00,
