,ABM.Range,ABM.PDF,ABM.CDF,CSS.Range,CSS.PDF,CSS.CDF,
0,0,0.32,0.32,0,0.258,0.258,0
1,50,0,0.32,50,0,0.258,1
2,100,0,0.32,100,0,0.258,
3,150,0,0.32,150,0,0.258,
4,200,0,0.32,200,0,0.258,
5,250,0,0.32,250,0,0.258,
6,300,0,0.32,300,0,0.258,
7,350,0,0.32,350,0,0.258,
8,400,0,0.32,400,0,0.258,
9,450,0,0.32,450,0,0.258,
10,500,0,0.32,500,0,0.258,
11,550,0.001,0.321,550,0,0.258,
12,600,0.057,0.378,600,0.077,0.335,
13,650,0.382,0.76,650,0.438,0.773,
14,700,0.239,0.999,700,0.224,0.997,
15,750,0.001,1,750,0.003,1,
16,800,0,1,800,0,1,
17,850,0,1,850,0,1,
18,900,0,1,900,0,1,
19,950,0,1,950,0,1,
