r.num,Epidemic,Duration,
1,851.00,229.00,
2,781.00,262.00,
3,786.00,233.00,
4,818.00,255.00,
5,823.00,282.50,
6,795.00,211.00,
7,0.00,14.00,
8,0.00,9.50,
9,792.00,247.00,
10,780.00,264.00,
11,798.00,353.00,
12,0.00,23.00,
13,812.00,213.00,
14,763.00,273.00,
15,800.00,243.00,
16,814.00,244.00,
17,0.00,13.00,
18,794.00,276.00,
19,780.00,304.00,
20,788.00,270.50,
21,0.00,26.50,
22,1.00,30.50,
23,814.00,288.00,
24,824.00,289.50,
25,797.00,182.50,
26,837.00,304.00,
27,806.00,267.50,
28,5.00,38.50,
29,797.00,298.00,
30,811.00,208.00,
31,0.00,12.50,
32,757.00,266.00,
33,0.00,5.00,
34,0.00,6.50,
35,819.00,230.50,
36,809.00,289.00,
37,779.00,247.50,
38,799.00,226.00,
39,790.00,247.00,
40,794.00,286.00,
41,792.00,192.00,
42,788.00,243.50,
43,796.00,204.00,
44,783.00,267.00,
45,0.00,27.00,
46,0.00,5.50,
47,812.00,393.50,
48,805.00,278.00,
49,788.00,243.50,
50,815.00,245.50,
51,761.00,265.00,
52,817.00,308.00,
53,827.00,260.50,
54,0.00,9.50,
55,0.00,16.50,
56,780.00,260.50,
57,791.00,279.50,
58,2.00,25.00,
59,820.00,252.00,
60,780.00,258.00,
61,814.00,242.00,
62,0.00,8.00,
63,3.00,24.50,
64,840.00,301.50,
65,1.00,18.50,
66,829.00,208.00,
67,754.00,270.50,
68,774.00,255.50,
69,5.00,63.50,
70,0.00,9.00,
71,818.00,324.50,
72,825.00,277.00,
73,1.00,49.00,
74,771.00,287.50,
75,822.00,246.50,
76,805.00,244.00,
77,804.00,257.00,
78,0.00,10.00,
79,807.00,247.00,
80,797.00,283.00,
81,801.00,246.50,
82,800.00,236.00,
83,819.00,214.50,
84,0.00,20.00,
85,1.00,35.50,
86,785.00,272.50,
87,779.00,376.00,
88,0.00,7.00,
89,788.00,309.00,
90,807.00,268.50,
91,793.00,277.50,
92,805.00,217.00,
93,1.00,24.50,
94,729.00,321.50,
95,795.00,230.50,
96,0.00,9.50,
97,783.00,288.00,
98,770.00,229.00,
99,842.00,244.00,
100,726.00,220.50,
101,0.00,38.00,
102,0.00,22.00,
103,0.00,9.50,
104,807.00,252.50,
105,818.00,224.00,
106,0.00,11.00,
107,796.00,207.00,
108,0.00,11.50,
109,765.00,232.00,
110,842.00,258.50,
111,846.00,260.50,
112,787.00,324.50,
113,814.00,270.00,
114,774.00,334.00,
115,814.00,247.00,
116,810.00,203.00,
117,826.00,259.00,
118,0.00,19.50,
119,751.00,306.00,
120,805.00,344.00,
121,0.00,10.50,
122,1.00,33.50,
123,817.00,237.50,
124,818.00,304.00,
125,0.00,31.00,
126,781.00,337.00,
127,835.00,222.50,
128,801.00,310.50,
129,0.00,21.50,
130,802.00,308.00,
131,821.00,362.00,
132,0.00,19.50,
133,837.00,213.50,
134,800.00,266.50,
135,1.00,16.50,
136,0.00,6.50,
137,792.00,250.00,
138,0.00,11.00,
139,0.00,12.50,
140,2.00,49.50,
141,794.00,230.50,
142,0.00,15.50,
143,1.00,8.50,
144,826.00,247.50,
145,1.00,25.50,
146,762.00,266.00,
147,806.00,274.00,
148,1.00,18.00,
149,808.00,248.00,
150,0.00,5.50,
151,829.00,239.00,
152,0.00,12.50,
153,783.00,323.50,
154,814.00,235.00,
155,772.00,211.00,
156,783.00,242.50,
157,0.00,7.00,
158,0.00,27.50,
159,785.00,261.00,
160,0.00,21.00,
161,770.00,251.00,
162,823.00,229.50,
163,800.00,223.00,
164,876.00,224.50,
165,3.00,54.00,
166,810.00,238.00,
167,1.00,31.50,
168,822.00,292.50,
169,773.00,310.00,
170,3.00,49.50,
171,0.00,8.50,
172,775.00,210.50,
173,0.00,19.00,
174,1.00,10.50,
175,805.00,301.00,
176,0.00,5.00,
177,810.00,265.00,
178,791.00,248.50,
179,771.00,273.00,
180,779.00,322.50,
181,764.00,282.50,
182,817.00,310.50,
183,769.00,241.00,
184,810.00,251.00,
185,0.00,9.00,
186,795.00,193.50,
187,0.00,20.50,
188,1.00,27.00,
189,7.00,47.50,
190,784.00,254.50,
191,792.00,211.00,
192,753.00,232.50,
193,786.00,234.00,
194,789.00,256.50,
195,814.00,354.00,
196,0.00,10.00,
197,792.00,319.50,
198,3.00,34.00,
199,814.00,295.50,
200,824.00,251.50,
201,809.00,198.50,
202,810.00,223.00,
203,820.00,245.50,
204,0.00,4.50,
205,0.00,17.50,
206,779.00,222.00,
207,780.00,247.50,
208,785.00,278.50,
209,825.00,248.50,
210,829.00,243.50,
211,805.00,298.50,
212,831.00,311.00,
213,0.00,20.50,
214,808.00,264.00,
215,2.00,27.50,
216,0.00,4.00,
217,781.00,311.00,
218,792.00,260.50,
219,816.00,195.50,
220,746.00,251.00,
221,814.00,238.00,
222,2.00,20.00,
223,819.00,265.00,
224,763.00,308.50,
225,1.00,18.50,
226,801.00,322.50,
227,3.00,43.50,
228,0.00,15.50,
229,799.00,274.00,
230,1.00,29.50,
231,0.00,41.00,
232,813.00,262.00,
233,0.00,4.50,
234,782.00,197.50,
235,1.00,11.00,
236,820.00,293.50,
237,759.00,270.50,
238,0.00,14.50,
239,0.00,6.50,
240,0.00,16.00,
241,807.00,281.50,
242,0.00,27.00,
243,818.00,270.50,
244,1.00,12.50,
245,790.00,243.50,
246,0.00,9.50,
247,0.00,16.00,
248,1.00,16.00,
249,2.00,50.50,
250,787.00,249.00,
251,11.00,90.00,
252,749.00,347.00,
253,0.00,25.50,
254,831.00,280.00,
255,0.00,7.50,
256,799.00,277.00,
257,1.00,31.50,
258,792.00,238.50,
259,1.00,25.50,
260,777.00,288.00,
261,811.00,279.00,
262,803.00,243.50,
263,769.00,288.50,
264,788.00,213.50,
265,0.00,7.00,
266,838.00,247.00,
267,2.00,55.50,
268,805.00,248.00,
269,787.00,264.00,
270,0.00,4.50,
271,807.00,237.00,
272,815.00,240.50,
273,0.00,17.50,
274,782.00,210.00,
275,777.00,235.00,
276,813.00,263.50,
277,0.00,9.50,
278,819.00,246.50,
279,795.00,252.50,
280,757.00,258.00,
281,0.00,18.50,
282,817.00,257.00,
283,746.00,288.50,
284,787.00,273.00,
285,766.00,260.00,
286,794.00,208.50,
287,836.00,227.50,
288,0.00,8.00,
289,0.00,13.00,
290,4.00,49.00,
291,810.00,242.50,
292,832.00,238.00,
293,807.00,292.00,
294,789.00,255.50,
295,0.00,11.00,
296,3.00,35.00,
297,800.00,246.00,
298,795.00,320.00,
299,2.00,29.00,
300,833.00,317.00,
301,782.00,225.00,
302,812.00,352.50,
303,797.00,245.50,
304,1.00,21.50,
305,0.00,15.00,
306,800.00,253.00,
307,798.00,228.50,
308,0.00,7.00,
309,776.00,241.00,
310,0.00,29.00,
311,818.00,271.50,
312,786.00,237.50,
313,786.00,278.00,
314,813.00,234.50,
315,1.00,23.00,
316,0.00,10.50,
317,801.00,262.00,
318,794.00,237.50,
319,793.00,342.00,
320,780.00,241.50,
321,0.00,14.00,
322,0.00,13.00,
323,0.00,15.00,
324,827.00,214.00,
325,0.00,14.00,
326,1.00,10.00,
327,2.00,23.00,
328,0.00,12.50,
329,792.00,224.00,
330,8.00,52.50,
331,763.00,274.00,
332,827.00,295.00,
333,0.00,16.00,
334,2.00,17.50,
335,807.00,276.50,
336,788.00,386.00,
337,789.00,246.50,
338,781.00,268.00,
339,842.00,286.50,
340,784.00,261.50,
341,845.00,258.50,
342,828.00,301.50,
343,0.00,18.00,
344,811.00,271.50,
345,766.00,274.00,
346,801.00,210.50,
347,786.00,258.00,
348,788.00,230.50,
349,800.00,262.00,
350,802.00,256.50,
351,1.00,22.50,
352,823.00,221.50,
353,801.00,260.50,
354,0.00,15.50,
355,796.00,281.00,
356,1.00,32.50,
357,761.00,247.00,
358,794.00,291.00,
359,851.00,187.50,
360,822.00,337.50,
361,838.00,218.00,
362,796.00,265.00,
363,785.00,260.50,
364,831.00,240.50,
365,738.00,254.00,
366,793.00,290.50,
367,0.00,32.00,
368,805.00,256.00,
369,777.00,300.50,
370,799.00,241.00,
371,788.00,275.50,
372,1.00,26.00,
373,817.00,239.50,
374,811.00,271.00,
375,803.00,300.50,
376,739.00,239.00,
377,0.00,24.00,
378,776.00,285.00,
379,755.00,240.50,
380,836.00,291.00,
381,799.00,271.00,
382,790.00,266.50,
383,792.00,228.00,
384,826.00,268.50,
385,773.00,325.50,
386,837.00,279.00,
387,838.00,229.00,
388,742.00,286.50,
389,815.00,267.00,
390,781.00,254.50,
391,828.00,279.50,
392,1.00,30.00,
393,795.00,271.50,
394,803.00,252.50,
395,803.00,205.50,
396,1.00,36.00,
397,812.00,291.00,
398,0.00,8.00,
399,815.00,273.50,
400,805.00,267.00,
401,762.00,312.00,
402,2.00,18.50,
403,5.00,73.50,
404,833.00,287.50,
405,828.00,333.00,
406,812.00,224.00,
407,0.00,10.00,
408,785.00,272.00,
409,768.00,253.00,
410,1.00,24.50,
411,796.00,256.50,
412,823.00,239.50,
413,822.00,289.50,
414,0.00,16.50,
415,820.00,190.50,
416,1.00,21.00,
417,1.00,29.50,
418,0.00,16.00,
419,783.00,265.50,
420,0.00,7.50,
421,0.00,20.50,
422,833.00,337.50,
423,835.00,299.00,
424,803.00,265.50,
425,812.00,304.50,
426,0.00,17.00,
427,794.00,228.50,
428,821.00,269.00,
429,3.00,22.00,
430,0.00,21.00,
431,759.00,279.50,
432,0.00,6.00,
433,815.00,245.50,
434,0.00,12.50,
435,1.00,31.00,
436,856.00,226.50,
437,1.00,13.50,
438,787.00,237.00,
439,833.00,245.50,
440,784.00,239.50,
441,0.00,19.00,
442,805.00,253.00,
443,801.00,261.00,
444,0.00,9.50,
445,813.00,256.50,
446,0.00,20.50,
447,0.00,13.50,
448,0.00,5.50,
449,813.00,259.50,
450,807.00,255.00,
451,0.00,7.00,
452,0.00,9.50,
453,1.00,16.00,
454,797.00,314.50,
455,773.00,273.00,
456,0.00,18.00,
457,6.00,54.50,
458,0.00,8.50,
459,778.00,212.50,
460,791.00,274.00,
461,0.00,18.00,
462,6.00,74.50,
463,825.00,236.50,
464,808.00,258.00,
465,796.00,301.00,
466,0.00,11.50,
467,791.00,287.50,
468,733.00,246.50,
469,782.00,258.00,
470,775.00,258.00,
471,775.00,244.00,
472,4.00,31.00,
473,833.00,275.00,
474,1.00,28.00,
475,833.00,275.00,
476,780.00,268.00,
477,8.00,60.00,
478,2.00,26.50,
479,770.00,235.00,
480,0.00,17.50,
481,0.00,6.50,
482,1.00,55.00,
483,1.00,28.50,
484,767.00,266.00,
485,798.00,283.00,
486,12.00,130.50,
487,0.00,12.00,
488,1.00,18.00,
489,820.00,318.00,
490,1.00,25.00,
491,795.00,307.00,
492,808.00,207.50,
493,817.00,213.00,
494,813.00,267.00,
495,0.00,36.50,
496,14.00,88.00,
497,2.00,31.00,
498,772.00,284.50,
499,0.00,10.50,
500,2.00,24.00,
501,760.00,297.50,
502,789.00,280.50,
503,862.00,255.00,
504,771.00,288.50,
505,828.00,231.00,
506,16.00,76.50,
507,821.00,260.50,
508,806.00,188.00,
509,784.00,300.00,
510,813.00,242.00,
511,799.00,278.50,
512,764.00,196.00,
513,0.00,22.00,
514,0.00,13.50,
515,797.00,247.00,
516,773.00,258.00,
517,804.00,230.00,
518,815.00,326.50,
519,0.00,7.50,
520,770.00,285.00,
521,763.00,249.00,
522,791.00,237.50,
523,818.00,232.50,
524,760.00,268.00,
525,853.00,235.50,
526,812.00,255.50,
527,838.00,266.00,
528,789.00,238.50,
529,787.00,233.00,
530,0.00,10.50,
531,823.00,241.00,
532,0.00,18.00,
533,791.00,233.50,
534,780.00,258.00,
535,792.00,245.00,
536,799.00,217.50,
537,769.00,260.00,
538,817.00,283.50,
539,775.00,270.00,
540,802.00,301.50,
541,822.00,262.00,
542,800.00,234.50,
543,784.00,256.50,
544,824.00,206.50,
545,764.00,297.50,
546,771.00,273.00,
547,0.00,22.00,
548,1.00,29.50,
549,0.00,18.50,
550,829.00,322.50,
551,787.00,274.00,
552,812.00,247.50,
553,0.00,6.50,
554,814.00,234.00,
555,857.00,217.50,
556,775.00,276.50,
557,2.00,56.50,
558,782.00,267.50,
559,804.00,267.50,
