r.num,Epidemic,
1,0.00,
2,808.00,
3,821.00,
4,809.00,
5,0.00,
6,789.00,
7,819.00,
8,739.00,
9,830.00,
10,812.00,
11,805.00,
12,763.00,
13,788.00,
14,0.00,
15,0.00,
16,822.00,
17,0.00,
18,3.00,
19,0.00,
20,31.00,
21,1.00,
22,792.00,
23,763.00,
24,0.00,
25,810.00,
26,818.00,
27,792.00,
28,2.00,
29,802.00,
30,807.00,
31,0.00,
32,1.00,
33,787.00,
34,770.00,
35,796.00,
36,0.00,
37,811.00,
38,829.00,
39,756.00,
40,808.00,
41,1.00,
42,823.00,
43,0.00,
44,0.00,
45,788.00,
46,0.00,
47,1.00,
48,813.00,
49,794.00,
50,16.00,
51,785.00,
52,789.00,
53,810.00,
54,763.00,
55,0.00,
56,1.00,
57,755.00,
58,1.00,
59,8.00,
60,0.00,
61,767.00,
62,2.00,
63,805.00,
64,817.00,
65,811.00,
66,827.00,
67,0.00,
68,0.00,
69,0.00,
70,8.00,
71,839.00,
72,1.00,
73,810.00,
74,792.00,
75,834.00,
76,830.00,
77,830.00,
78,739.00,
79,754.00,
80,845.00,
81,809.00,
82,796.00,
83,753.00,
84,817.00,
85,789.00,
86,820.00,
87,821.00,
88,785.00,
89,0.00,
90,789.00,
91,0.00,
92,1.00,
93,0.00,
94,1.00,
95,11.00,
96,755.00,
97,0.00,
98,0.00,
99,799.00,
100,0.00,
101,797.00,
102,2.00,
103,0.00,
104,794.00,
105,830.00,
106,0.00,
107,0.00,
108,817.00,
109,826.00,
110,0.00,
111,808.00,
112,0.00,
113,3.00,
114,788.00,
115,825.00,
116,824.00,
117,831.00,
118,1.00,
119,0.00,
120,1.00,
121,0.00,
122,773.00,
123,791.00,
124,0.00,
125,0.00,
126,0.00,
127,0.00,
128,783.00,
129,0.00,
130,1.00,
131,1.00,
132,826.00,
133,767.00,
134,0.00,
135,3.00,
136,815.00,
137,1.00,
138,4.00,
139,3.00,
140,0.00,
141,0.00,
142,810.00,
143,795.00,
144,834.00,
145,716.00,
146,0.00,
147,808.00,
148,825.00,
149,1.00,
150,1.00,
151,1.00,
152,0.00,
153,772.00,
154,0.00,
155,0.00,
156,788.00,
157,777.00,
158,0.00,
159,839.00,
160,794.00,
161,819.00,
162,831.00,
163,793.00,
164,0.00,
165,836.00,
166,751.00,
167,1.00,
168,0.00,
169,0.00,
170,798.00,
171,761.00,
172,802.00,
173,0.00,
174,2.00,
175,796.00,
176,0.00,
177,0.00,
178,821.00,
179,816.00,
180,775.00,
181,816.00,
182,794.00,
183,2.00,
184,831.00,
185,792.00,
186,1.00,
187,12.00,
188,2.00,
189,833.00,
190,3.00,
191,0.00,
192,0.00,
193,0.00,
194,0.00,
195,771.00,
196,834.00,
197,836.00,
198,0.00,
199,0.00,
200,801.00,
201,2.00,
202,0.00,
203,0.00,
204,0.00,
205,775.00,
206,0.00,
207,822.00,
208,0.00,
209,771.00,
210,745.00,
211,2.00,
212,0.00,
213,1.00,
214,0.00,
215,5.00,
216,811.00,
217,815.00,
218,0.00,
219,0.00,
220,769.00,
221,0.00,
222,829.00,
223,8.00,
224,1.00,
225,808.00,
226,0.00,
227,764.00,
228,0.00,
229,0.00,
230,813.00,
231,0.00,
232,845.00,
233,0.00,
234,0.00,
235,0.00,
236,798.00,
237,0.00,
238,798.00,
239,770.00,
240,0.00,
241,0.00,
242,759.00,
243,820.00,
244,0.00,
245,0.00,
246,0.00,
247,0.00,
248,843.00,
249,7.00,
250,0.00,
251,0.00,
252,2.00,
253,786.00,
254,780.00,
255,782.00,
256,827.00,
257,0.00,
258,793.00,
259,807.00,
260,809.00,
261,784.00,
262,0.00,
263,803.00,
264,0.00,
265,808.00,
266,790.00,
267,727.00,
268,1.00,
269,1.00,
270,0.00,
271,1.00,
272,773.00,
273,829.00,
274,820.00,
275,743.00,
276,817.00,
277,787.00,
278,0.00,
279,0.00,
280,789.00,
281,806.00,
282,785.00,
283,778.00,
284,0.00,
285,0.00,
286,794.00,
287,3.00,
288,766.00,
289,841.00,
290,771.00,
291,779.00,
292,0.00,
293,2.00,
294,0.00,
295,0.00,
296,841.00,
297,1.00,
298,21.00,
299,0.00,
300,830.00,
301,1.00,
302,0.00,
303,0.00,
304,1.00,
305,787.00,
306,0.00,
307,1.00,
308,0.00,
309,0.00,
310,753.00,
311,0.00,
312,782.00,
313,3.00,
314,0.00,
315,1.00,
316,754.00,
317,0.00,
318,757.00,
319,810.00,
320,815.00,
321,804.00,
322,774.00,
323,751.00,
324,0.00,
325,807.00,
326,0.00,
327,0.00,
328,0.00,
329,0.00,
330,0.00,
331,0.00,
332,818.00,
333,2.00,
334,795.00,
335,0.00,
336,0.00,
337,825.00,
338,5.00,
339,0.00,
340,829.00,
341,788.00,
342,4.00,
343,848.00,
344,0.00,
345,0.00,
346,0.00,
347,0.00,
348,0.00,
349,1.00,
350,1.00,
351,794.00,
352,4.00,
353,1.00,
354,807.00,
355,771.00,
356,0.00,
357,0.00,
358,792.00,
359,0.00,
360,0.00,
361,770.00,
362,792.00,
363,1.00,
364,851.00,
365,784.00,
366,766.00,
367,820.00,
368,0.00,
369,798.00,
370,0.00,
371,806.00,
372,0.00,
373,0.00,
374,6.00,
375,0.00,
376,779.00,
377,0.00,
378,1.00,
379,0.00,
380,802.00,
381,788.00,
382,0.00,
383,2.00,
384,0.00,
385,0.00,
386,808.00,
387,775.00,
388,827.00,
389,1.00,
390,791.00,
391,0.00,
392,0.00,
393,2.00,
394,829.00,
395,0.00,
396,830.00,
397,5.00,
398,0.00,
399,0.00,
400,841.00,
401,788.00,
402,0.00,
403,762.00,
404,768.00,
405,1.00,
406,810.00,
407,794.00,
408,810.00,
409,833.00,
410,804.00,
411,752.00,
412,741.00,
413,776.00,
414,1.00,
415,821.00,
416,781.00,
417,770.00,
418,0.00,
419,806.00,
420,2.00,
421,0.00,
422,832.00,
423,785.00,
424,814.00,
425,0.00,
426,827.00,
427,805.00,
428,0.00,
429,0.00,
430,806.00,
431,767.00,
432,774.00,
433,1.00,
434,8.00,
435,822.00,
436,0.00,
437,0.00,
438,0.00,
439,0.00,
440,844.00,
441,2.00,
442,783.00,
443,767.00,
444,0.00,
445,0.00,
446,743.00,
447,773.00,
448,737.00,
449,795.00,
450,0.00,
451,0.00,
452,814.00,
453,780.00,
454,0.00,
455,2.00,
456,814.00,
457,0.00,
458,1.00,
459,789.00,
460,0.00,
461,0.00,
462,784.00,
463,0.00,
464,812.00,
465,0.00,
466,784.00,
467,801.00,
468,820.00,
469,0.00,
470,0.00,
471,809.00,
472,784.00,
473,819.00,
474,0.00,
475,0.00,
476,0.00,
477,0.00,
478,2.00,
479,1.00,
480,802.00,
481,4.00,
482,823.00,
483,779.00,
484,0.00,
485,791.00,
486,5.00,
487,0.00,
488,16.00,
489,716.00,
490,0.00,
491,856.00,
492,758.00,
493,2.00,
494,2.00,
495,0.00,
496,0.00,
497,802.00,
498,786.00,
499,0.00,
500,0.00,
501,0.00,
502,0.00,
503,0.00,
504,0.00,
505,787.00,
506,768.00,
507,800.00,
508,0.00,
509,0.00,
510,752.00,
511,815.00,
512,823.00,
513,2.00,
514,0.00,
515,848.00,
516,808.00,
517,7.00,
518,802.00,
519,0.00,
520,770.00,
521,809.00,
522,802.00,
523,0.00,
524,0.00,
525,0.00,
526,829.00,
527,779.00,
528,0.00,
529,0.00,
530,834.00,
531,0.00,
532,797.00,
533,783.00,
534,6.00,
535,3.00,
536,807.00,
537,5.00,
538,0.00,
539,0.00,
540,756.00,
541,787.00,
542,847.00,
543,803.00,
544,1.00,
545,726.00,
546,811.00,
547,819.00,
548,818.00,
549,751.00,
550,782.00,
551,0.00,
552,1.00,
553,828.00,
554,0.00,
555,798.00,
556,801.00,
557,0.00,
558,0.00,
559,848.00,
560,843.00,
561,766.00,
562,2.00,
563,827.00,
564,792.00,
565,761.00,
566,2.00,
567,0.00,
568,1.00,
569,812.00,
570,769.00,
571,0.00,
572,799.00,
573,0.00,
574,787.00,
575,1.00,
576,754.00,
577,770.00,
578,831.00,
579,0.00,
580,793.00,
581,0.00,
582,1.00,
583,0.00,
584,747.00,
585,0.00,
586,0.00,
587,1.00,
588,2.00,
589,781.00,
590,0.00,
591,0.00,
592,809.00,
593,802.00,
594,759.00,
595,0.00,
596,821.00,
597,811.00,
598,823.00,
599,851.00,
600,0.00,
601,0.00,
602,791.00,
603,780.00,
604,806.00,
605,792.00,
606,801.00,
607,2.00,
608,819.00,
609,793.00,
610,0.00,
611,783.00,
612,0.00,
613,1.00,
614,1.00,
615,830.00,
616,809.00,
617,1.00,
618,0.00,
619,0.00,
620,0.00,
621,0.00,
622,835.00,
623,0.00,
624,824.00,
625,834.00,
626,818.00,
627,820.00,
628,784.00,
629,822.00,
630,858.00,
631,0.00,
632,808.00,
633,754.00,
634,772.00,
635,0.00,
636,810.00,
637,797.00,
638,782.00,
639,1.00,
640,797.00,
641,5.00,
642,6.00,
643,0.00,
644,0.00,
645,5.00,
646,810.00,
647,0.00,
648,796.00,
649,806.00,
650,0.00,
651,0.00,
652,809.00,
653,0.00,
654,734.00,
